Timestamp (ms),Encoder1,Encoder2,Loadcell
1747001519894,95.13,17.95,70.396
1747001519993,95.1,17.95,70.688
1747001520094,95.1,17.97,70.98
1747001520194,95.1,17.97,70.933
1747001520294,95.13,17.95,70.339
1747001520394,95.13,17.97,69.237
1747001520494,95.19,17.97,68.426
1747001520594,95.1,17.95,67.653
1747001520694,95.1,17.95,67.22
1747001520794,95.1,17.95,67.069
1747001520894,95.1,17.97,66.993
1747001520994,95.08,17.95,66.918
1747001521094,95.08,17.97,66.956
1747001521194,95.13,18.0,67.069
1747001521294,94.97,18.0,67.116
1747001521394,95.13,17.97,67.003
1747001521494,95.06,17.97,66.654
1747001521594,95.1,17.97,66.532
1747001521694,95.13,17.95,66.729
1747001521794,95.15,17.95,66.701
1747001521894,95.26,17.97,66.579
1747001521994,95.06,17.95,66.532
1747001522094,95.1,17.95,66.692
1747001522194,95.08,17.97,66.814
1747001522294,95.13,17.97,66.909
1747001522394,95.1,17.95,66.946
1747001522494,95.08,17.95,66.88
1747001522594,95.08,17.97,66.729
1747001522694,95.1,17.97,66.711
1747001522794,95.17,17.95,66.711
1747001522894,95.1,17.95,66.852
1747001522994,95.1,17.97,66.786
1747001523094,95.1,17.97,66.975
1747001523194,95.08,18.0,67.286
1747001523294,95.08,18.3,67.125
1747001523394,95.08,17.86,67.05
1747001523494,95.15,12.59,68.04
1747001523594,95.39,0.7,66.918
1747001523695,95.59,353.63,66.513
1747001523794,95.87,348.62,71.093
1747001523895,95.96,340.36,75.316
1747001523995,96.31,327.9,79.152
1747001524095,96.51,320.78,84.647
1747001524195,96.58,318.12,89.246
1747001524295,96.71,312.45,91.781
1747001524395,97.08,296.21,94.731
1747001524495,97.3,289.79,97.125
1747001524595,97.32,288.91,100.707
1747001524695,97.3,290.56,104.769
1747001524795,97.32,290.54,106.155
1747001524895,97.3,290.54,102.686
1747001524995,97.3,290.54,102.79
1747001525095,97.3,290.54,102.479
1747001525195,97.3,290.19,102.026
1747001525295,97.32,287.95,101.847
1747001525395,97.63,275.25,100.848
1747001525495,97.87,265.14,99.189
1747001525595,97.94,254.81,102.95
1747001525695,98.44,242.22,109.925
1747001525795,98.69,232.44,115.221
1747001525895,98.77,228.44,119.463
