Timestamp (ms),Encoder1,Encoder2,Loadcell
1746997575348,92.6,132.99,-1.206
1746997575449,92.58,132.96,-1.508
1746997575549,92.6,132.96,-1.404
1746997575649,92.62,132.99,-1.131
1746997575749,92.62,133.01,-0.886
1746997575848,92.62,132.96,-1.027
1746997575949,92.58,132.99,-1.131
1746997576049,92.62,132.96,-1.32
1746997576149,92.58,132.99,-1.197
1746997576249,92.6,132.99,-1.056
1746997576349,92.6,132.99,-1.197
1746997576449,92.58,132.96,-1.159
1746997576549,92.6,132.96,-1.15
1746997576649,92.6,132.99,-1.188
1746997576749,92.58,132.96,-1.178
1746997576849,92.6,132.99,-1.376
1746997576949,92.6,132.96,-1.508
1746997577049,92.6,132.99,-1.461
1746997577149,92.6,132.99,-1.14
1746997577249,92.62,132.96,-1.037
1746997577349,92.6,132.99,-1.093
1746997577449,92.62,132.96,-0.905
1746997577549,92.58,132.94,-1.093
1746997577649,92.6,132.94,-1.056
1746997577749,92.6,132.96,-0.867
1746997577849,92.6,133.01,-0.924
1746997577949,92.64,132.96,-0.98
1746997578049,92.6,132.99,-1.046
1746997578149,92.58,132.94,-1.178
1746997578249,92.58,132.99,-1.395
1746997578349,92.58,132.96,-1.451
1746997578449,92.6,133.01,-1.404
1746997578549,92.8,132.96,-1.169
1746997578649,92.62,132.99,-0.99
1746997578749,92.6,133.01,-1.112
1746997578849,92.6,132.99,-1.14
1746997578949,92.42,132.99,-1.122
1746997579049,92.58,132.99,-1.301
1746997579149,92.62,132.99,-1.32
1746997579249,92.6,132.94,-1.15
1746997579349,92.6,132.99,-1.178
1746997579449,92.58,132.96,-1.357
1746997579549,92.6,132.96,-1.291
1746997579650,92.62,133.01,-1.046
1746997579750,92.58,132.99,-1.254
1746997579849,92.58,132.96,-1.282
1746997579950,92.6,132.96,-1.037
1746997580049,92.49,132.99,-0.971
1746997580150,92.6,132.99,-0.999
1746997580250,92.58,133.01,-1.065
1746997580350,92.62,132.99,-1.046
1746997580450,92.58,132.99,-1.008
1746997580550,92.6,132.96,-1.093
1746997580650,92.58,132.99,-1.112
1746997580750,92.6,132.96,-1.074
1746997580850,92.6,132.99,-1.103
1746997580950,92.64,132.96,-1.282
1746997581050,92.58,132.96,-1.065
1746997581150,92.6,132.99,-1.14
1746997581250,92.6,132.99,-1.235
1746997581350,92.6,132.99,-0.99
1746997581450,92.6,132.96,-1.056
1746997581550,92.58,132.99,-0.99
1746997581650,92.55,132.96,-1.103
1746997581750,92.6,132.99,-1.197
1746997581850,92.62,132.96,-1.093
1746997581950,92.6,132.96,-1.159
1746997582050,92.62,132.99,-1.291
1746997582150,92.6,132.96,-1.291
1746997582250,92.6,132.99,-1.122
1746997582350,92.6,132.99,-1.32
1746997582450,92.58,132.99,-1.084
1746997582550,92.58,132.99,-1.084
1746997582650,92.55,0.0,-0.811
1746997582750,92.58,0.0,-0.697
1746997582850,92.58,0.0,-0.754
1746997582950,92.64,132.96,-0.858
1746997583050,92.58,132.96,-0.886
1746997583150,92.6,132.96,-0.801
1746997583250,92.6,132.99,-0.829
1746997583350,92.6,132.96,-0.905
1746997583450,92.64,132.99,-0.961
1746997583550,92.58,132.99,-0.848
1746997583650,92.64,132.99,-1.103
1746997583750,92.6,132.99,-1.122
1746997583851,92.71,132.99,-1.122
1746997583951,92.58,132.96,-1.018
1746997584051,92.6,132.94,-0.952
1746997584151,92.6,132.99,-0.688
1746997584251,92.64,132.96,-0.697
1746997584351,92.6,132.96,-0.99
1746997584451,92.58,132.99,-1.037
1746997584551,92.62,132.96,-0.886
1746997584651,92.71,132.96,-0.801
1746997584751,92.6,133.01,-0.895
1746997584851,92.6,132.99,-1.008
1746997584951,92.6,132.99,-1.065
1746997585051,92.58,132.96,-1.056
1746997585151,92.55,132.99,-0.99
1746997585251,92.6,132.96,-0.858
1746997585351,92.62,132.99,-0.914
1746997585451,92.62,132.96,-0.933
1746997585551,92.58,132.99,-0.773
1746997585651,92.55,132.96,-0.707
1746997585751,92.6,132.99,-0.547
1746997585851,92.6,132.96,-0.556
1746997585951,92.64,132.99,-0.594
1746997586051,92.6,132.99,-0.594
1746997586151,92.6,133.01,-0.726
1746997586251,92.58,132.96,-0.961
1746997586351,92.58,132.96,-0.952
1746997586451,92.55,132.96,-0.547
1746997586551,92.62,132.96,-0.707
1746997586651,92.62,132.99,-0.905
1746997586751,92.58,132.96,-0.792
1746997586851,92.6,132.96,-0.5
1746997586951,92.66,132.96,-0.424
1746997587051,92.58,132.94,-0.311
1746997587151,92.55,133.01,-0.405
1746997587251,92.58,132.99,-0.5
1746997587351,92.6,132.96,-0.424
1746997587451,92.58,132.99,-0.49
1746997587551,92.62,132.99,-0.462
1746997587651,92.6,132.99,-0.471
1746997587751,92.51,132.99,-0.641
1746997587851,92.58,132.99,-0.622
1746997587951,92.62,132.96,-0.377
1746997588051,92.58,132.94,-0.452
1746997588152,92.6,132.99,-0.32
1746997588252,92.58,132.99,-0.113
1746997588352,92.6,132.96,-0.047
1746997588452,92.6,132.99,0.038
1746997588552,92.58,132.96,-0.207
1746997588652,92.6,132.96,-0.236
1746997588752,92.62,132.99,-0.254
1746997588852,92.6,132.99,-0.17
1746997588952,92.95,132.96,-0.17
1746997589052,92.62,133.01,-0.368
1746997589152,92.58,132.96,-0.264
1746997589252,92.6,132.96,-0.16
1746997589352,92.58,132.96,-0.358
1746997589452,92.6,132.96,-0.33
1746997589552,92.6,133.01,-0.17
1746997589652,92.6,132.96,0.047
1746997589752,92.6,132.96,0.075
1746997589852,92.55,132.99,0.066
1746997589952,92.6,132.96,-0.094
1746997590052,92.6,132.99,-0.038
1746997590152,92.58,132.99,-0.17
1746997590252,92.62,132.99,-0.245
1746997590352,92.6,132.96,-0.066
1746997590452,92.6,132.99,-0.236
1746997590552,92.6,132.94,-0.123
1746997590652,92.58,132.99,-0.16
1746997590752,92.6,132.94,-0.189
1746997590852,92.58,132.96,-0.273
1746997590952,92.6,132.96,-0.019
1746997591052,92.6,132.99,0.066
1746997591152,92.62,132.96,0.075
1746997591252,92.6,132.99,0.094
1746997591352,92.58,132.96,-0.019
1746997591452,92.62,132.96,-0.057
1746997591552,92.62,132.99,0.0
1746997591652,92.6,132.94,-0.085
1746997591752,92.6,132.99,0.019
1746997591852,92.62,132.99,-0.009
1746997591952,92.58,132.99,-0.047
1746997592052,92.58,132.96,-0.047
1746997592152,92.62,132.96,0.038
1746997592252,92.6,132.99,-0.057
1746997592352,92.6,132.96,0.311
1746997592452,92.6,132.99,0.17
1746997592553,92.62,132.99,0.085
1746997592653,92.62,132.99,-0.028
1746997592753,92.6,132.99,0.047
1746997592853,92.6,132.99,0.057
1746997592953,92.6,132.94,0.019
1746997593053,92.58,132.96,0.019
1746997593153,92.55,132.99,-0.141
1746997593253,92.6,132.99,-0.132
1746997593353,92.62,133.01,-0.217
1746997593453,92.6,133.01,-0.311
1746997593553,92.6,132.99,-0.273
1746997593653,92.53,132.96,-0.085
1746997593753,92.64,132.96,-0.16
1746997593853,92.62,132.99,-0.198
1746997593953,92.62,132.96,-0.028
1746997594053,92.58,132.99,-0.104
1746997594153,92.6,132.99,-0.17
1746997594253,92.6,132.99,0.0
1746997594353,92.69,132.96,0.047
1746997594453,92.64,132.99,-0.292
1746997594553,92.6,132.99,-0.368
1746997594653,92.58,132.96,-0.311
1746997594753,92.58,132.96,-0.481
1746997594853,92.82,132.99,-0.339
1746997594953,92.55,132.96,-0.254
1746997595053,92.51,132.99,-0.226
1746997595153,92.58,132.99,-0.066
1746997595253,92.6,132.96,-0.189
1746997595353,92.62,132.99,-0.509
1746997595453,92.6,132.96,-0.5
1746997595553,92.58,132.96,-0.5
1746997595653,92.6,132.99,-0.396
1746997595753,92.58,132.99,-0.264
1746997595853,92.6,132.99,-0.547
1746997595953,92.6,132.96,-0.547
1746997596053,92.58,132.94,-0.481
1746997596153,92.58,132.99,-0.358
1746997596253,92.62,132.96,-0.5
1746997596353,92.62,132.99,-0.434
1746997596453,92.6,133.01,-0.471
1746997596553,92.62,132.96,-0.368
1746997596654,92.66,132.96,-0.424
1746997596753,92.58,132.99,-0.49
1746997596854,92.66,132.96,-0.405
1746997596954,92.62,132.96,-0.32
1746997597054,92.6,132.99,-0.264
1746997597154,92.62,132.99,-0.189
1746997597254,92.64,132.96,-0.49
1746997597354,92.62,132.96,-0.575
1746997597453,92.6,132.96,-0.575
1746997597554,92.6,132.94,-0.566
1746997597654,92.62,132.99,-0.566
1746997597754,92.58,132.94,-0.556
1746997597854,92.6,132.96,-0.462
1746997597954,92.64,132.99,-0.434
1746997598054,92.6,132.96,-0.358
1746997598154,92.55,132.96,-0.17
1746997598254,92.6,132.96,-0.16
1746997598354,92.55,132.99,-0.368
1746997598454,92.6,132.99,-0.302
1746997598554,92.62,132.99,-0.377
1746997598654,92.58,132.99,-0.547
1746997598754,92.6,132.96,-0.575
1746997598854,92.6,132.96,-0.528
1746997598954,92.64,133.01,-0.471
1746997599054,92.6,132.99,-0.745
1746997599154,92.6,132.96,-0.622
1746997599254,92.55,132.94,-0.349
1746997599354,92.6,132.99,-0.226
1746997599454,92.62,132.99,-0.311
1746997599554,92.6,133.01,-0.405
1746997599654,92.62,132.99,-0.518
1746997599754,92.6,132.96,-0.292
1746997599854,92.55,132.96,-0.236
1746997599954,92.6,132.99,-0.368
1746997600054,92.62,132.99,-0.518
1746997600154,92.55,132.96,-0.556
1746997600254,92.58,132.99,-0.537
1746997600354,92.53,132.99,-0.594
1746997600454,92.6,132.99,-0.782
1746997600554,92.6,132.96,-0.707
1746997600654,92.6,132.96,-0.49
1746997600754,92.6,132.96,-0.481
1746997600855,92.6,132.99,-0.594
1746997600954,92.51,132.99,-0.386
1746997601055,92.62,132.99,-0.537
1746997601155,92.62,132.96,-0.5
1746997601255,92.6,132.96,-0.556
1746997601355,92.6,132.99,-0.782
1746997601455,92.6,133.01,-0.773
1746997601555,92.6,132.99,-0.697
1746997601655,92.58,132.99,-0.584
1746997601755,92.6,132.99,-0.613
1746997601855,92.6,132.96,-0.443
1746997601955,92.55,132.99,-0.528
1746997602055,92.6,132.96,-0.33
1746997602155,92.62,132.96,-0.094
1746997602255,92.62,132.99,-0.085
1746997602355,92.62,132.99,-0.302
1746997602455,92.62,132.96,-0.311
1746997602555,92.62,132.99,-0.349
1746997602655,92.6,132.99,-0.415
1746997602755,92.6,132.96,-0.386
1746997602855,92.6,132.96,-0.462
1746997602955,92.58,132.99,-0.151
1746997603055,92.6,132.99,-0.104
1746997603155,92.6,132.96,-0.547
1746997603255,92.62,132.96,-0.481
1746997603355,92.62,132.99,-0.283
1746997603455,92.58,132.96,-0.302
1746997603555,92.58,132.96,-0.226
1746997603655,92.58,132.99,-0.151
1746997603755,92.55,132.96,-0.075
1746997603855,92.6,132.96,-0.207
1746997603955,92.62,132.96,-0.292
1746997604055,92.6,132.99,-0.292
1746997604155,92.6,132.96,-0.33
