Time_sec,Reference_Force_N,Actual_Force_N,Error_N
0.0,1.0,-51.95,52.95
0.0,1.0,-51.95,52.95
0.004,1.0,0.0,1.0
0.006,1.0,-51.6,52.6
0.009,1.0,-50.99,51.99
0.012,1.0,-50.89,51.89
0.015,1.0,-50.88,51.88
0.018,1.0,-50.93,51.93
0.021,1.0,-50.99,51.99
0.024,1.0,-51.0,52.0
0.027,1.0,-50.99,51.99
0.03,1.0,-50.98,51.98
0.033,1.0,-50.92,51.92
0.036,1.0,-50.92,51.92
0.039,1.0,-50.98,51.98
0.042,1.0,-50.94,51.94
0.046,1.0,-50.91,51.91
0.049,1.0,-50.98,51.98
0.052,1.0,-50.96,51.96
0.055,1.0,-50.92,51.92
0.058,1.0,-50.95,51.95
0.061,1.0,-50.96,51.96
0.064,1.0,-50.92,51.92
0.067,1.0,-50.91,51.91
0.07,1.0,-50.95,51.95
0.073,1.0,-50.92,51.92
0.076,1.0,-50.91,51.91
0.079,1.0,-50.93,51.93
0.082,1.0,-50.92,51.92
0.085,1.0,0.0,1.0
0.088,1.0,-50.93,51.93
0.091,1.0,-50.94,51.94
0.094,1.0,-50.92,51.92
0.097,1.0,-50.91,51.91
0.1,1.0,-50.96,51.96
0.103,1.0,-50.95,51.95
0.106,1.0,-50.96,51.96
0.109,1.0,-50.95,51.95
0.112,1.0,-50.9,51.9
0.115,1.0,-50.9,51.9
0.118,1.0,-50.93,51.93
0.121,1.0,-50.94,51.94
0.124,1.0,-50.95,51.95
0.127,1.0,-50.96,51.96
0.13,1.0,-50.96,51.96
0.133,1.0,-50.95,51.95
0.136,1.0,-50.9,51.9
0.139,1.0,-50.93,51.93
0.142,1.0,-50.88,51.88
0.145,1.0,-50.91,51.91
0.148,1.0,-50.94,51.94
0.151,1.0,-50.85,51.85
0.154,1.0,-50.88,51.88
0.157,1.0,-50.93,51.93
0.161,1.0,-50.89,51.89
0.164,1.0,0.0,1.0
0.166,1.0,-50.88,51.88
0.169,1.0,-50.89,51.89
0.172,1.0,-50.91,51.91
0.175,1.0,-50.85,51.85
0.178,1.0,-50.88,51.88
0.181,1.0,-50.93,51.93
0.184,1.0,-50.93,51.93
0.187,1.0,-50.94,51.94
0.19,1.0,-50.94,51.94
0.193,1.0,-50.89,51.89
0.196,1.0,-50.88,51.88
0.199,1.0,-50.96,51.96
0.203,1.0,-50.96,51.96
0.206,1.0,-50.99,51.99
0.209,1.0,-50.96,51.96
0.212,1.0,-50.88,51.88
0.215,1.0,-50.87,51.87
0.218,1.0,-50.93,51.93
0.221,1.0,-50.94,51.94
0.224,1.0,-50.89,51.89
0.227,1.0,-50.91,51.91
0.23,1.0,-50.95,51.95
0.233,1.0,-50.89,51.89
0.236,1.0,-50.9,51.9
0.239,1.0,-50.94,51.94
0.242,1.0,-50.92,51.92
0.245,1.0,0.0,1.0
0.248,1.0,-50.91,51.91
0.251,1.0,-50.95,51.95
0.254,1.0,-50.91,51.91
0.257,1.0,-50.88,51.88
0.26,1.0,-50.93,51.93
0.263,1.0,-50.97,51.97
0.266,1.0,-50.92,51.92
0.269,1.0,-50.92,51.92
0.272,1.0,-50.92,51.92
0.275,1.0,-50.86,51.86
0.278,1.0,-50.89,51.89
0.281,1.0,-50.94,51.94
0.284,1.0,-50.92,51.92
0.287,1.0,-50.92,51.92
0.29,1.0,-50.95,51.95
0.293,1.0,-50.91,51.91
0.296,1.0,-50.91,51.91
0.299,1.0,-50.95,51.95
0.302,1.0,-50.91,51.91
0.305,1.0,-50.93,51.93
0.308,1.0,-50.98,51.98
0.311,1.0,-50.93,51.93
0.314,1.0,-50.91,51.91
0.317,1.0,-50.94,51.94
0.321,1.0,-50.9,51.9
0.324,1.0,-50.89,51.89
0.327,1.0,0.0,1.0
0.329,1.0,-50.91,51.91
0.332,1.0,-50.92,51.92
0.335,1.0,-50.91,51.91
0.338,1.0,-50.93,51.93
0.341,1.0,-50.94,51.94
0.344,1.0,-50.9,51.9
0.347,1.0,-50.89,51.89
0.35,1.0,-50.92,51.92
0.353,1.0,-50.86,51.86
0.356,1.0,-50.95,51.95
0.359,1.0,-51.02,52.02
0.363,1.0,-50.93,51.93
0.366,1.0,-50.91,51.91
0.369,1.0,-50.95,51.95
0.372,1.0,-50.94,51.94
0.375,1.0,-50.88,51.88
0.378,1.0,-50.9,51.9
0.381,1.0,-50.89,51.89
0.384,1.0,-50.91,51.91
0.387,1.0,-50.95,51.95
0.39,1.0,-50.95,51.95
0.393,1.0,-50.88,51.88
0.396,1.0,-50.89,51.89
0.399,1.0,-50.94,51.94
0.402,1.0,-50.91,51.91
0.405,1.0,-50.9,51.9
0.408,1.0,0.0,1.0
0.411,1.0,-50.93,51.93
0.414,1.0,-50.89,51.89
0.417,1.0,-50.85,51.85
0.42,1.0,-50.89,51.89
0.423,1.0,-50.88,51.88
0.426,1.0,-50.9,51.9
0.429,1.0,-50.97,51.97
0.432,1.0,-50.96,51.96
0.435,1.0,-50.93,51.93
0.438,1.0,-50.94,51.94
0.441,1.0,-50.91,51.91
0.444,1.0,-50.86,51.86
0.447,1.0,-50.9,51.9
0.45,1.0,-50.96,51.96
0.453,1.0,-50.95,51.95
0.456,1.0,-50.93,51.93
0.459,1.0,-50.94,51.94
0.462,1.0,-50.91,51.91
0.465,1.0,-50.91,51.91
0.468,1.0,-50.94,51.94
0.471,1.0,-50.89,51.89
0.474,1.0,-50.86,51.86
0.478,1.0,-50.9,51.9
0.481,1.0,-50.91,51.91
0.484,1.0,-50.88,51.88
0.487,1.0,-50.92,51.92
0.49,1.0,0.0,1.0
0.492,1.0,-50.94,51.94
0.495,1.0,-50.89,51.89
0.498,1.0,-50.9,51.9
0.501,1.0,-50.91,51.91
0.504,1.0,-50.9,51.9
0.507,1.0,-50.89,51.89
0.51,1.0,-50.9,51.9
0.513,1.0,-50.91,51.91
