Time_sec,Reference_Force_N,Actual_Force_N,Error_N
0.0,3.0,-4.74,7.74
0.0,3.0,-4.7,7.7
0.003,3.0,-4.57,7.57
0.006,3.0,-3.98,6.98
0.009,3.0,-2.96,5.96
0.012,3.0,-1.77,4.77
0.015,3.0,-0.69,3.69
0.018,3.0,0.29,2.71
0.021,3.0,1.26,1.74
0.024,3.0,2.01,0.9900000000000002
0.027,3.0,2.31,0.69
0.031,3.0,2.35,0.6499999999999999
0.034,1.0,2.54,-1.54
0.037,1.0,2.81,-1.81
0.04,1.0,3.16,-2.16
0.043,1.0,3.67,-2.67
0.046,1.0,4.01,-3.01
0.049,1.0,4.04,-3.04
0.052,1.0,4.29,-3.29
0.055,1.0,4.62,-3.62
0.058,1.0,4.95,-3.95
0.061,1.0,5.22,-4.22
0.064,1.0,5.54,-4.54
0.067,1.0,0.0,1.0
0.069,1.0,5.75,-4.75
0.073,1.0,5.89,-4.89
0.076,1.0,6.04,-5.04
0.079,1.0,6.19,-5.19
0.082,1.0,6.25,-5.25
0.085,1.0,6.22,-5.22
0.088,1.0,6.18,-5.18
0.091,1.0,6.11,-5.11
0.094,1.0,5.98,-4.98
0.097,1.0,5.77,-4.77
0.1,1.0,5.56,-4.56
0.103,1.0,5.3,-4.3
0.106,1.0,5.06,-4.06
0.109,1.0,4.84,-3.84
0.112,1.0,4.6,-3.5999999999999996
0.115,1.0,4.35,-3.3499999999999996
0.118,1.0,4.13,-3.13
0.121,1.0,3.94,-2.94
0.124,1.0,3.76,-2.76
0.127,1.0,3.56,-2.56
0.13,1.0,3.38,-2.38
0.133,1.0,3.16,-2.16
0.136,1.0,2.94,-1.94
0.139,1.0,2.73,-1.73
0.142,1.0,2.54,-1.54
0.146,1.0,2.33,-1.33
0.149,1.0,0.0,1.0
0.151,1.0,2.11,-1.1099999999999999
0.154,1.0,1.91,-0.9099999999999999
0.157,1.0,1.67,-0.6699999999999999
0.16,1.0,1.43,-0.42999999999999994
0.163,1.0,1.2,-0.19999999999999996
0.166,1.0,0.94,0.06000000000000005
0.169,1.0,0.7,0.30000000000000004
0.172,1.0,0.48,0.52
0.175,1.0,0.25,0.75
0.178,1.0,0.01,0.99
0.181,1.0,-0.25,1.25
0.184,1.0,-0.46,1.46
0.188,1.0,-0.65,1.65
0.191,1.0,-0.88,1.88
0.194,1.0,-1.07,2.0700000000000003
0.197,1.0,-1.27,2.27
0.2,1.0,-1.46,2.46
0.203,1.0,-1.63,2.63
0.206,1.0,-1.81,2.81
0.209,1.0,-1.97,2.9699999999999998
0.212,1.0,-2.12,3.12
0.215,1.0,-2.27,3.27
0.218,1.0,-2.41,3.41
0.221,1.0,-2.56,3.56
0.224,1.0,-2.7,3.7
0.227,1.0,-2.79,3.79
0.23,1.0,0.0,1.0
0.233,1.0,-2.91,3.91
0.236,1.0,-2.99,3.99
0.239,1.0,-3.08,4.08
0.242,1.0,-3.17,4.17
0.245,1.0,-3.23,4.23
0.248,1.0,-3.29,4.29
0.251,1.0,-3.3,4.3
0.254,1.0,-3.39,4.390000000000001
0.257,1.0,-3.47,4.470000000000001
0.26,1.0,-3.54,4.54
0.263,1.0,-3.64,4.640000000000001
0.266,1.0,-3.7,4.7
0.269,1.0,-3.73,4.73
0.272,1.0,-3.74,4.74
0.275,1.0,-3.75,4.75
0.278,1.0,-3.76,4.76
0.281,1.0,-3.74,4.74
0.284,1.0,-3.74,4.74
0.287,1.0,-3.69,4.6899999999999995
0.29,1.0,-3.66,4.66
0.293,1.0,-3.66,4.66
0.296,1.0,-3.64,4.640000000000001
0.299,1.0,-3.67,4.67
0.302,1.0,-3.67,4.67
0.306,1.0,-3.64,4.640000000000001
0.309,1.0,-3.66,4.66
0.312,1.0,0.0,1.0
0.314,1.0,-3.66,4.66
0.317,1.0,-3.63,4.63
0.32,1.0,-3.62,4.62
0.323,1.0,-3.61,4.609999999999999
0.326,1.0,-3.58,4.58
0.329,1.0,-3.57,4.57
0.332,1.0,-3.61,4.609999999999999
0.335,1.0,-3.61,4.609999999999999
0.338,1.0,-3.61,4.609999999999999
0.341,1.0,-3.58,4.58
0.344,1.0,-3.57,4.57
0.348,1.0,-3.58,4.58
0.351,1.0,-3.57,4.57
0.354,1.0,-3.6,4.6
0.357,1.0,-3.6,4.6
0.36,1.0,-3.57,4.57
0.363,1.0,-3.55,4.55
0.366,1.0,-3.56,4.5600000000000005
0.369,1.0,-3.56,4.5600000000000005
0.372,1.0,-3.59,4.59
0.375,1.0,-3.59,4.59
0.378,1.0,-3.62,4.62
0.381,1.0,-3.6,4.6
0.384,1.0,-3.57,4.57
0.387,1.0,-3.57,4.57
0.39,1.0,-3.56,4.5600000000000005
0.393,1.0,0.0,1.0
0.396,1.0,-3.54,4.54
0.399,1.0,-3.56,4.5600000000000005
0.402,1.0,-3.54,4.54
0.405,1.0,-3.52,4.52
0.408,1.0,-3.54,4.54
0.411,1.0,-3.56,4.5600000000000005
0.414,1.0,-3.56,4.5600000000000005
0.417,1.0,-3.52,4.52
0.42,1.0,-3.52,4.52
0.423,1.0,-3.57,4.57
0.426,1.0,-3.55,4.55
0.429,1.0,-3.54,4.54
0.432,1.0,-3.56,4.5600000000000005
0.435,1.0,-3.59,4.59
0.438,1.0,-3.55,4.55
0.441,1.0,-3.52,4.52
0.444,1.0,-3.51,4.51
0.447,1.0,-3.52,4.52
0.45,1.0,-3.53,4.529999999999999
0.453,1.0,-3.53,4.529999999999999
0.456,1.0,-3.53,4.529999999999999
0.459,1.0,-3.51,4.51
0.463,1.0,-3.52,4.52
0.466,1.0,-3.55,4.55
0.469,1.0,-3.53,4.529999999999999
0.472,1.0,-3.51,4.51
0.475,1.0,0.0,1.0
0.477,1.0,-3.54,4.54
0.48,1.0,-3.54,4.54
0.483,1.0,-3.53,4.529999999999999
0.486,1.0,-3.54,4.54
0.489,1.0,-3.21,4.21
0.492,1.0,-2.32,3.32
0.495,1.0,-0.94,1.94
0.498,1.0,0.44,0.56
0.502,1.0,1.77,-0.77
0.505,1.0,3.27,-2.27
0.508,1.0,4.8,-3.8
0.511,1.0,6.04,-5.04
0.514,1.0,7.28,-6.28
0.517,1.0,8.31,-7.3100000000000005
0.52,1.0,9.13,-8.13
0.523,1.0,9.88,-8.88
