Time_sec,Reference_Force_N,Actual_Force_N,Error_N
0.0,1.0,-42.93,43.93
0.0,1.0,0.0,1.0
0.002,1.0,-42.91,43.91
0.005,1.0,-42.92,43.92
0.009,1.0,-42.92,43.92
0.012,1.0,-42.9,43.9
0.015,1.0,-42.87,43.87
0.018,1.0,-42.87,43.87
0.021,1.0,-42.85,43.85
0.024,1.0,-42.81,43.81
0.027,1.0,-42.77,43.77
0.03,1.0,-42.77,43.77
0.033,1.0,-42.79,43.79
0.036,1.0,-42.82,43.82
0.039,1.0,-42.78,43.78
0.042,1.0,-42.76,43.76
0.045,1.0,-42.76,43.76
0.048,1.0,-42.75,43.75
0.051,1.0,-42.76,43.76
0.054,1.0,-42.79,43.79
0.057,1.0,-42.79,43.79
0.06,1.0,-42.78,43.78
0.063,1.0,-42.78,43.78
0.066,1.0,-42.78,43.78
0.069,1.0,-42.77,43.77
0.072,1.0,-42.79,43.79
0.075,1.0,0.0,1.0
0.078,1.0,-42.81,43.81
0.081,1.0,-42.77,43.77
0.084,1.0,-42.76,43.76
0.087,1.0,-42.76,43.76
0.09,1.0,-42.81,43.81
0.093,1.0,-42.8,43.8
0.096,1.0,-42.76,43.76
0.099,1.0,-42.79,43.79
0.102,1.0,-42.82,43.82
0.105,1.0,-42.8,43.8
0.108,1.0,-42.78,43.78
0.111,1.0,-42.79,43.79
0.114,1.0,-42.78,43.78
0.117,1.0,-42.78,43.78
0.12,1.0,-42.77,43.77
0.124,1.0,-42.78,43.78
0.127,1.0,-42.75,43.75
0.13,1.0,-42.72,43.72
0.133,1.0,-42.74,43.74
0.136,1.0,-42.78,43.78
0.139,1.0,-42.78,43.78
0.142,1.0,-42.76,43.76
0.145,1.0,-42.74,43.74
0.148,1.0,-42.76,43.76
0.151,1.0,-42.8,43.8
0.154,1.0,-42.79,43.79
0.157,1.0,0.0,1.0
0.159,1.0,-42.76,43.76
0.162,1.0,-42.77,43.77
0.166,1.0,-42.81,43.81
0.169,1.0,-42.81,43.81
0.172,1.0,-42.8,43.8
0.175,1.0,-42.78,43.78
0.178,1.0,-42.79,43.79
0.181,1.0,-42.77,43.77
0.184,1.0,-42.76,43.76
0.187,1.0,-42.77,43.77
0.19,1.0,-42.76,43.76
0.193,1.0,-42.75,43.75
0.196,1.0,-42.78,43.78
0.199,1.0,-42.79,43.79
0.202,1.0,-42.79,43.79
0.205,1.0,-42.77,43.77
0.208,1.0,-42.79,43.79
0.211,1.0,-42.77,43.77
0.214,1.0,-42.78,43.78
0.217,1.0,-42.78,43.78
0.22,1.0,-42.8,43.8
0.223,1.0,-42.82,43.82
0.226,1.0,-42.8,43.8
0.229,1.0,-42.79,43.79
0.232,1.0,-42.78,43.78
0.235,1.0,-42.8,43.8
0.238,1.0,0.0,1.0
0.241,1.0,-42.81,43.81
0.244,1.0,-42.77,43.77
0.247,1.0,-42.77,43.77
0.25,1.0,-42.79,43.79
0.253,1.0,-42.82,43.82
0.256,1.0,-42.81,43.81
0.259,1.0,-42.78,43.78
0.262,1.0,-42.78,43.78
0.265,1.0,-42.79,43.79
0.268,1.0,-42.79,43.79
0.271,1.0,-42.81,43.81
0.274,1.0,-42.8,43.8
0.277,1.0,-42.79,43.79
0.28,1.0,-42.79,43.79
0.284,1.0,-42.79,43.79
0.287,1.0,-42.76,43.76
0.29,1.0,-42.8,43.8
0.293,1.0,-42.79,43.79
0.296,1.0,-42.77,43.77
0.299,1.0,-42.82,43.82
0.302,1.0,-42.82,43.82
0.305,1.0,-42.81,43.81
0.308,1.0,-42.79,43.79
0.311,1.0,-42.74,43.74
0.314,1.0,-42.75,43.75
0.317,1.0,-42.79,43.79
0.32,1.0,0.0,1.0
0.322,1.0,-42.77,43.77
0.326,1.0,-42.79,43.79
0.329,1.0,-42.81,43.81
0.332,1.0,-42.81,43.81
0.335,1.0,-42.78,43.78
0.338,1.0,-42.76,43.76
0.341,1.0,-42.78,43.78
0.344,1.0,-42.77,43.77
0.347,1.0,-42.79,43.79
0.35,1.0,-42.79,43.79
0.353,1.0,-42.81,43.81
0.356,1.0,-42.82,43.82
0.359,1.0,-42.79,43.79
0.362,1.0,-42.79,43.79
0.365,1.0,-42.78,43.78
0.368,1.0,-42.79,43.79
0.371,1.0,-42.8,43.8
0.374,1.0,-42.81,43.81
0.377,1.0,-42.77,43.77
0.38,1.0,-42.76,43.76
0.383,1.0,-42.77,43.77
0.386,1.0,-42.79,43.79
0.389,1.0,-42.8,43.8
0.392,1.0,-42.79,43.79
0.395,1.0,-42.8,43.8
0.399,1.0,-42.8,43.8
0.402,1.0,0.0,1.0
0.404,1.0,-42.8,43.8
0.407,1.0,-42.79,43.79
0.41,1.0,-42.76,43.76
0.413,1.0,-42.78,43.78
0.416,1.0,-42.79,43.79
0.419,1.0,-42.76,43.76
0.422,1.0,-42.8,43.8
0.425,1.0,-42.77,43.77
0.428,1.0,-42.75,43.75
0.431,1.0,-42.75,43.75
0.434,1.0,-42.79,43.79
0.437,1.0,-42.81,43.81
0.441,1.0,-42.78,43.78
0.444,1.0,-42.75,43.75
0.447,1.0,-42.76,43.76
0.45,1.0,-42.76,43.76
0.453,1.0,-42.76,43.76
0.456,1.0,-42.79,43.79
0.459,1.0,-42.77,43.77
0.462,1.0,-42.75,43.75
0.465,1.0,-42.77,43.77
0.468,1.0,-42.77,43.77
0.471,1.0,-42.78,43.78
0.474,1.0,-42.78,43.78
0.477,1.0,-42.8,43.8
0.48,1.0,-42.78,43.78
0.483,1.0,0.0,1.0
0.486,1.0,-42.78,43.78
0.489,1.0,-42.8,43.8
0.492,1.0,-42.78,43.78
0.495,1.0,-42.77,43.77
0.498,1.0,-42.76,43.76
0.501,1.0,-42.78,43.78
0.504,1.0,-42.8,43.8
0.507,1.0,-42.78,43.78
0.51,1.0,-42.78,43.78
0.513,1.0,-42.77,43.77
0.516,1.0,-42.79,43.79
0.519,1.0,-42.81,43.81
0.522,1.0,-42.81,43.81
0.525,1.0,-42.8,43.8
0.528,1.0,-42.82,43.82
0.531,1.0,-42.82,43.82
0.534,1.0,-42.79,43.79
0.537,1.0,-42.79,43.79
0.54,1.0,-42.79,43.79
0.543,1.0,-42.8,43.8
0.546,1.0,-42.81,43.81
0.549,1.0,-42.77,43.77
0.552,1.0,-42.77,43.77
0.556,1.0,-42.8,43.8
0.559,1.0,-42.81,43.81
0.562,1.0,-42.8,43.8
0.565,1.0,0.0,1.0
0.567,1.0,-42.79,43.79
0.57,1.0,-42.8,43.8
0.573,1.0,-42.79,43.79
0.576,1.0,-42.78,43.78
0.579,1.0,-42.74,43.74
0.582,1.0,-42.77,43.77
0.585,1.0,-42.8,43.8
0.588,1.0,-42.79,43.79
0.591,1.0,-42.78,43.78
0.594,1.0,-42.75,43.75
0.598,1.0,-42.78,43.78
0.601,1.0,-42.77,43.77
0.604,1.0,-42.77,43.77
0.607,1.0,-42.77,43.77
0.61,1.0,-42.76,43.76
0.613,1.0,-42.78,43.78
0.616,1.0,-42.8,43.8
0.619,1.0,-42.81,43.81
0.622,1.0,-42.8,43.8
0.625,1.0,-42.79,43.79
0.628,1.0,-42.79,43.79
0.631,1.0,-42.78,43.78
0.634,1.0,-42.77,43.77
0.637,1.0,-42.77,43.77
0.64,1.0,-42.8,43.8
0.643,1.0,0.0,1.0
0.646,1.0,-42.78,43.78
0.649,1.0,-42.75,43.75
0.652,1.0,-42.76,43.76
0.655,1.0,-42.81,43.81
0.658,1.0,-42.84,43.84
0.661,1.0,-42.83,43.83
0.664,1.0,-42.78,43.78
0.667,1.0,-42.78,43.78
0.67,1.0,-42.79,43.79
0.673,1.0,-42.78,43.78
0.676,1.0,-42.79,43.79
0.679,1.0,-42.79,43.79
0.682,1.0,-42.78,43.78
0.685,1.0,-42.77,43.77
0.688,1.0,-42.77,43.77
0.691,1.0,-42.79,43.79
