Time_sec,Reference_Force_N,Actual_Force_N,Error_N
0.0,3.0,-7.17,10.17
0.0,3.0,-7.18,10.18
0.003,3.0,-7.08,10.08
0.006,3.0,-6.51,9.51
0.009,3.0,-5.85,8.85
0.012,3.0,-5.43,8.43
0.015,3.0,-4.87,7.87
0.018,3.0,-4.3,7.3
0.021,3.0,-3.66,6.66
0.024,3.0,-3.14,6.140000000000001
0.027,3.0,-2.63,5.63
0.03,3.0,-2.04,5.04
0.033,3.0,-1.47,4.47
0.036,3.0,-0.92,3.92
0.039,3.0,-0.29,3.29
0.043,3.0,0.35,2.65
0.046,3.0,1.05,1.95
0.049,3.0,1.77,1.23
0.052,3.0,2.48,0.52
0.055,3.0,3.33,-0.33000000000000007
0.058,3.0,0.0,3.0
0.06,3.0,4.12,-1.12
0.063,3.0,4.77,-1.7699999999999996
0.066,3.0,5.55,-2.55
0.069,3.0,6.19,-3.1900000000000004
0.072,3.0,6.71,-3.71
0.075,3.0,7.27,-4.27
0.078,3.0,7.82,-4.82
0.081,3.0,8.46,-5.460000000000001
0.085,3.0,8.86,-5.859999999999999
0.088,3.0,9.36,-6.359999999999999
0.091,3.0,9.92,-6.92
0.094,3.0,10.43,-7.43
0.097,3.0,10.93,-7.93
0.1,3.0,11.47,-8.47
0.103,3.0,12.05,-9.05
0.106,3.0,12.59,-9.59
0.109,3.0,13.16,-10.16
0.112,3.0,13.78,-10.78
0.115,3.0,14.43,-11.43
0.118,3.0,15.11,-12.11
0.121,3.0,15.71,-12.71
0.124,3.0,16.34,-13.34
0.127,3.0,17.02,-14.02
0.13,3.0,17.43,-14.43
0.133,3.0,17.84,-14.84
0.136,3.0,18.41,-15.41
0.139,3.0,0.0,3.0
0.142,3.0,18.7,-15.7
0.145,3.0,19.03,-16.03
0.148,3.0,19.42,-16.42
0.151,3.0,19.87,-16.87
0.154,3.0,20.12,-17.12
0.157,3.0,20.41,-17.41
0.16,3.0,20.67,-17.67
0.163,3.0,21.0,-18.0
0.166,3.0,21.47,-18.47
0.169,3.0,21.76,-18.76
0.172,3.0,22.02,-19.02
0.175,3.0,22.48,-19.48
0.178,3.0,23.03,-20.03
0.181,3.0,23.36,-20.36
0.184,3.0,23.66,-20.66
0.187,3.0,24.01,-21.01
0.19,3.0,24.51,-21.51
0.193,3.0,24.95,-21.95
0.196,3.0,25.39,-22.39
0.2,3.0,25.92,-22.92
0.203,3.0,26.36,-23.36
0.206,3.0,26.79,-23.79
0.209,3.0,27.28,-24.28
0.212,3.0,27.7,-24.7
0.215,3.0,28.08,-25.08
0.218,3.0,28.35,-25.35
0.221,3.0,0.0,3.0
0.223,3.0,28.77,-25.77
0.226,3.0,29.15,-26.15
0.229,3.0,29.42,-26.42
0.232,3.0,29.52,-26.52
0.235,3.0,29.74,-26.74
0.238,3.0,30.1,-27.1
0.242,3.0,30.42,-27.42
0.245,3.0,30.42,-27.42
0.248,3.0,30.7,-27.7
0.251,3.0,30.91,-27.91
0.254,3.0,31.13,-28.13
0.257,3.0,31.41,-28.41
0.26,3.0,31.82,-28.82
0.263,3.0,31.98,-28.98
0.266,3.0,32.17,-29.17
0.269,3.0,32.45,-29.450000000000003
0.272,3.0,32.54,-29.54
0.275,3.0,32.94,-29.939999999999998
0.278,3.0,33.5,-30.5
0.281,3.0,33.59,-30.590000000000003
0.284,3.0,33.84,-30.840000000000003
0.287,3.0,34.3,-31.299999999999997
0.29,3.0,34.79,-31.79
0.293,3.0,35.08,-32.08
0.296,3.0,35.45,-32.45
0.299,3.0,35.73,-32.73
0.302,3.0,0.0,3.0
0.305,3.0,36.27,-33.27
0.308,3.0,36.72,-33.72
0.311,3.0,37.0,-34.0
0.314,3.0,37.42,-34.42
0.317,3.0,38.09,-35.09
0.32,3.0,38.29,-35.29
0.323,3.0,38.37,-35.37
0.326,3.0,38.66,-35.66
0.329,3.0,39.05,-36.05
0.332,3.0,39.34,-36.34
0.335,3.0,39.51,-36.51
0.338,3.0,39.62,-36.62
0.341,3.0,39.66,-36.66
0.344,3.0,39.88,-36.88
0.347,3.0,40.11,-37.11
0.35,3.0,40.25,-37.25
0.353,3.0,40.44,-37.44
0.356,1.0,40.77,-39.77
0.36,1.0,40.88,-39.88
0.363,1.0,40.62,-39.62
0.366,1.0,40.56,-39.56
0.369,1.0,40.49,-39.49
0.372,1.0,40.09,-39.09
0.375,1.0,39.74,-38.74
0.378,1.0,39.48,-38.48
0.381,1.0,39.32,-38.32
0.384,1.0,0.0,1.0
0.386,1.0,39.29,-38.29
0.389,1.0,38.91,-37.91
0.392,1.0,38.67,-37.67
0.395,1.0,38.51,-37.51
0.398,1.0,38.13,-37.13
0.402,1.0,37.99,-36.99
0.405,1.0,37.53,-36.53
0.408,1.0,37.09,-36.09
0.411,1.0,36.78,-35.78
0.414,1.0,36.47,-35.47
0.417,1.0,36.65,-35.65
0.42,1.0,36.17,-35.17
0.423,1.0,35.93,-34.93
0.426,1.0,35.95,-34.95
0.429,1.0,35.66,-34.66
0.432,1.0,35.63,-34.63
0.435,1.0,35.58,-34.58
0.438,1.0,35.24,-34.24
0.441,1.0,35.42,-34.42
0.444,1.0,35.26,-34.26
0.447,1.0,35.01,-34.01
0.45,1.0,34.79,-33.79
0.453,1.0,35.04,-34.04
0.456,1.0,35.14,-34.14
0.459,1.0,34.55,-33.55
0.462,1.0,34.31,-33.31
0.465,1.0,0.0,1.0
0.468,1.0,34.28,-33.28
0.471,1.0,34.01,-33.01
0.474,1.0,34.19,-33.19
0.477,1.0,34.42,-33.42
0.48,1.0,34.42,-33.42
0.483,1.0,34.19,-33.19
0.486,1.0,33.97,-32.97
0.489,1.0,33.58,-32.58
0.492,1.0,33.27,-32.27
0.495,1.0,33.21,-32.21
0.498,1.0,33.25,-32.25
0.501,1.0,33.34,-32.34
0.504,1.0,33.48,-32.48
0.507,1.0,33.67,-32.67
0.51,1.0,33.77,-32.77
0.513,1.0,33.88,-32.88
0.517,1.0,34.08,-33.08
0.52,1.0,34.2,-33.2
0.523,1.0,34.16,-33.16
0.526,1.0,34.22,-33.22
0.529,1.0,34.22,-33.22
0.532,1.0,34.02,-33.02
0.535,1.0,33.85,-32.85
0.538,1.0,33.83,-32.83
0.541,1.0,33.69,-32.69
0.544,1.0,33.48,-32.48
0.547,1.0,0.0,1.0
0.549,1.0,33.27,-32.27
0.552,1.0,33.2,-32.2
0.555,1.0,33.33,-32.33
0.559,1.0,33.46,-32.46
0.562,1.0,33.53,-32.53
0.565,1.0,33.23,-32.23
0.568,1.0,32.86,-31.86
0.571,1.0,33.22,-32.22
0.574,1.0,33.1,-32.1
0.577,1.0,32.85,-31.85
0.58,1.0,32.52,-31.520000000000003
0.583,1.0,32.34,-31.340000000000003
0.586,1.0,32.34,-31.340000000000003
0.589,1.0,32.26,-31.259999999999998
0.592,1.0,32.28,-31.28
0.595,1.0,32.26,-31.259999999999998
0.598,1.0,32.39,-31.39
0.601,1.0,32.43,-31.43
0.604,1.0,32.36,-31.36
0.607,1.0,32.36,-31.36
0.61,1.0,32.32,-31.32
0.613,1.0,32.31,-31.310000000000002
0.616,1.0,32.3,-31.299999999999997
0.619,1.0,32.26,-31.259999999999998
0.622,1.0,32.35,-31.35
0.625,1.0,32.35,-31.35
0.628,1.0,0.0,1.0
0.631,1.0,32.29,-31.29
0.634,1.0,32.34,-31.340000000000003
0.637,1.0,32.29,-31.29
0.64,1.0,32.28,-31.28
0.643,1.0,32.3,-31.299999999999997
0.646,1.0,32.3,-31.299999999999997
0.649,1.0,32.26,-31.259999999999998
0.652,1.0,32.26,-31.259999999999998
0.655,1.0,32.28,-31.28
0.658,1.0,32.33,-31.33
0.661,1.0,32.25,-31.25
0.664,1.0,32.25,-31.25
0.667,1.0,32.25,-31.25
0.67,1.0,32.3,-31.299999999999997
0.673,1.0,32.31,-31.310000000000002
0.677,1.0,32.3,-31.299999999999997
0.68,1.0,32.25,-31.25
0.683,1.0,32.2,-31.200000000000003
0.686,1.0,32.18,-31.18
0.689,1.0,32.17,-31.17
0.692,1.0,32.25,-31.25
0.695,1.0,32.29,-31.29
0.698,1.0,32.23,-31.229999999999997
0.701,1.0,32.24,-31.240000000000002
0.704,1.0,32.25,-31.25
0.707,1.0,32.12,-31.119999999999997
0.71,1.0,0.0,1.0
0.712,1.0,32.12,-31.119999999999997
0.715,1.0,32.2,-31.200000000000003
0.719,1.0,32.27,-31.270000000000003
0.722,1.0,32.22,-31.22
0.725,1.0,32.2,-31.200000000000003
0.728,1.0,32.16,-31.159999999999997
0.731,1.0,32.05,-31.049999999999997
0.734,1.0,32.07,-31.07
0.737,1.0,32.13,-31.130000000000003
0.74,1.0,32.11,-31.11
0.743,1.0,32.11,-31.11
0.746,1.0,32.08,-31.08
0.749,1.0,32.06,-31.060000000000002
0.752,1.0,32.15,-31.15
0.755,1.0,32.21,-31.21
0.758,1.0,32.16,-31.159999999999997
0.761,1.0,32.14,-31.14
0.764,1.0,32.16,-31.159999999999997
0.767,1.0,32.17,-31.17
0.77,1.0,32.15,-31.15
0.773,1.0,32.14,-31.14
0.776,1.0,32.16,-31.159999999999997
0.779,1.0,32.12,-31.119999999999997
0.782,1.0,32.09,-31.090000000000003
0.785,1.0,32.16,-31.159999999999997
0.788,1.0,32.1,-31.1
0.792,1.0,0.0,1.0
0.794,1.0,32.07,-31.07
0.797,1.0,32.09,-31.090000000000003
0.8,1.0,32.07,-31.07
0.803,1.0,32.04,-31.04
0.806,1.0,32.04,-31.04
0.809,1.0,32.07,-31.07
0.812,1.0,32.05,-31.049999999999997
0.815,1.0,32.03,-31.03
0.818,1.0,32.03,-31.03
0.821,1.0,32.07,-31.07
0.824,1.0,32.09,-31.090000000000003
0.827,1.0,32.11,-31.11
0.83,1.0,32.07,-31.07
0.834,1.0,32.07,-31.07
0.837,1.0,32.05,-31.049999999999997
0.84,1.0,32.09,-31.090000000000003
0.843,1.0,32.05,-31.049999999999997
0.846,1.0,32.02,-31.020000000000003
0.849,1.0,32.04,-31.04
0.852,1.0,32.08,-31.08
0.855,1.0,31.99,-30.99
0.858,1.0,31.97,-30.97
0.861,1.0,31.97,-30.97
0.864,1.0,31.99,-30.99
0.867,1.0,32.07,-31.07
0.87,1.0,32.09,-31.090000000000003
0.873,1.0,0.0,1.0
0.876,1.0,32.05,-31.049999999999997
0.879,1.0,32.0,-31.0
0.882,1.0,31.99,-30.99
0.885,1.0,32.04,-31.04
0.888,1.0,32.04,-31.04
0.891,1.0,32.03,-31.03
0.894,1.0,32.04,-31.04
0.897,1.0,32.01,-31.009999999999998
0.9,1.0,32.0,-31.0
0.903,1.0,31.99,-30.99
0.906,1.0,32.01,-31.009999999999998
0.909,1.0,31.95,-30.95
0.912,1.0,31.93,-30.93
0.915,1.0,32.0,-31.0
0.918,1.0,32.03,-31.03
0.921,1.0,32.01,-31.009999999999998
