Time_sec,Reference_Force_N,Actual_Force_N,Error_N
0.0,0.0,-74.96,74.96
0.0,0.0,0.0,0.0
0.002,0.0,-74.9,74.9
0.005,0.0,-74.64,74.64
0.008,0.0,-74.31,74.31
0.011,0.0,-74.32,74.32
0.014,0.0,-74.25,74.25
0.017,0.0,-74.25,74.25
0.02,0.0,-74.26,74.26
0.023,0.0,-74.28,74.28
0.026,0.0,-74.25,74.25
0.029,0.0,-74.29,74.29
0.032,1.0,-74.33,75.33
0.035,1.0,-74.3,75.3
0.038,1.0,-74.28,75.28
0.042,1.0,-74.27,75.27
0.045,1.0,-74.29,75.29
0.048,1.0,-74.25,75.25
0.051,1.0,-74.25,75.25
0.054,1.0,-74.28,75.28
0.057,1.0,-74.21,75.21
0.06,1.0,-74.35,75.35
0.063,1.0,-74.33,75.33
0.066,1.0,-74.32,75.32
0.069,1.0,-74.32,75.32
0.072,1.0,-74.26,75.26
0.075,1.0,-74.28,75.28
0.078,1.0,0.0,1.0
0.08,1.0,-74.26,75.26
0.084,1.0,-74.24,75.24
0.087,1.0,-74.17,75.17
0.09,1.0,-74.17,75.17
0.093,1.0,-74.34,75.34
0.096,1.0,-74.33,75.33
0.099,1.0,-74.23,75.23
0.102,1.0,-74.23,75.23
0.105,1.0,-74.23,75.23
0.108,1.0,-74.25,75.25
0.111,1.0,-74.27,75.27
0.114,1.0,-74.26,75.26
0.117,1.0,-74.25,75.25
0.12,1.0,-74.3,75.3
0.123,1.0,-74.26,75.26
0.126,1.0,-74.29,75.29
0.129,1.0,-74.25,75.25
0.132,1.0,-74.22,75.22
0.135,1.0,-74.24,75.24
0.138,1.0,-74.28,75.28
0.141,1.0,-74.2,75.2
0.144,1.0,-74.22,75.22
0.147,1.0,-74.24,75.24
0.15,1.0,-74.2,75.2
0.153,1.0,-74.2,75.2
0.157,1.0,-74.21,75.21
0.16,1.0,0.0,1.0
0.162,1.0,-74.22,75.22
0.165,1.0,-74.16,75.16
0.168,1.0,-74.13,75.13
0.171,1.0,-74.19,75.19
0.174,1.0,-74.18,75.18
0.177,1.0,-74.2,75.2
0.18,1.0,-74.23,75.23
0.183,1.0,-74.23,75.23
0.186,1.0,-74.23,75.23
0.189,1.0,-74.16,75.16
0.192,1.0,-74.12,75.12
0.195,1.0,-74.16,75.16
0.199,1.0,-74.16,75.16
0.202,1.0,-74.19,75.19
0.205,1.0,-74.16,75.16
0.208,1.0,-74.15,75.15
0.211,1.0,-74.15,75.15
0.214,1.0,-74.07,75.07
0.217,1.0,-74.08,75.08
0.22,1.0,-74.13,75.13
0.223,1.0,-74.09,75.09
0.226,1.0,-74.05,75.05
0.229,1.0,-74.05,75.05
0.232,1.0,-74.01,75.01
0.235,1.0,-73.94,74.94
0.238,1.0,-73.89,74.89
0.241,1.0,0.0,1.0
0.244,1.0,-73.85,74.85
0.247,1.0,-73.86,74.86
0.25,1.0,-73.85,74.85
0.253,1.0,-73.86,74.86
0.256,1.0,-73.81,74.81
0.259,1.0,-73.73,74.73
0.262,1.0,-73.69,74.69
0.265,1.0,-73.71,74.71
0.268,1.0,-73.73,74.73
0.271,1.0,-73.65,74.65
0.274,1.0,-73.65,74.65
0.277,1.0,-73.67,74.67
0.28,1.0,-73.7,74.7
0.283,1.0,-73.69,74.69
0.286,1.0,-73.63,74.63
0.289,1.0,-73.59,74.59
0.292,1.0,-73.58,74.58
0.295,1.0,-73.58,74.58
0.298,1.0,-73.54,74.54
0.301,1.0,-73.52,74.52
0.304,1.0,-73.49,74.49
0.307,1.0,-73.41,74.41
0.31,1.0,-73.41,74.41
0.314,1.0,-73.42,74.42
0.317,1.0,-73.41,74.41
0.32,1.0,-73.4,74.4
0.323,1.0,0.0,1.0
0.325,1.0,-73.29,74.29
0.328,1.0,-73.21,74.21
0.331,1.0,-73.23,74.23
0.334,1.0,-73.16,74.16
0.337,1.0,-73.09,74.09
0.34,1.0,-73.04,74.04
0.343,1.0,-72.99,73.99
0.346,1.0,-72.85,73.85
0.349,1.0,-72.76,73.76
0.352,1.0,-72.78,73.78
0.356,1.0,-72.67,73.67
0.359,1.0,-72.62,73.62
0.362,1.0,-72.55,73.55
0.365,1.0,-72.38,73.38
0.368,1.0,-72.35,73.35
0.371,1.0,-72.28,73.28
0.374,1.0,-72.22,73.22
0.377,1.0,-72.32,73.32
0.38,1.0,-72.37,73.37
0.383,1.0,-72.3,73.3
0.386,1.0,-72.21,73.21
0.389,1.0,-72.12,73.12
0.392,1.0,-71.99,72.99
0.395,1.0,-71.88,72.88
0.398,1.0,-71.81,72.81
0.401,1.0,-71.67,72.67
0.404,1.0,0.0,1.0
0.407,1.0,-71.52,72.52
0.41,1.0,-71.37,72.37
0.413,1.0,-71.19,72.19
0.416,1.0,-70.99,71.99
0.419,1.0,-70.75,71.75
0.422,1.0,-70.46,71.46
0.425,1.0,-70.18,71.18
0.428,1.0,-69.88,70.88
0.431,1.0,-69.6,70.6
0.434,1.0,-69.2,70.2
0.437,1.0,-68.63,69.63
0.44,1.0,-68.29,69.29
0.443,1.0,-68.07,69.07
0.446,1.0,-67.78,68.78
0.449,1.0,-67.61,68.61
0.452,1.0,-67.47,68.47
0.455,1.0,-67.19,68.19
0.458,1.0,-67.01,68.01
0.461,1.0,-66.83,67.83
0.464,1.0,-66.47,67.47
0.467,1.0,-66.23,67.23
0.47,1.0,-66.05,67.05
0.474,1.0,-65.79,66.79
0.477,1.0,-65.47,66.47
0.48,1.0,-65.22,66.22
0.483,1.0,0.0,1.0
0.485,1.0,-64.97,65.97
0.488,1.0,-64.66,65.66
0.491,1.0,-64.36,65.36
0.494,1.0,-64.01,65.01
0.497,1.0,-63.57,64.57
0.5,1.0,-63.2,64.2
0.503,1.0,-62.87,63.87
0.506,1.0,-62.41,63.41
0.509,1.0,-61.98,62.98
0.512,1.0,-61.68,62.68
0.516,1.0,-61.29,62.29
0.519,1.0,-61.05,62.05
0.522,1.0,-60.83,61.83
0.525,1.0,-60.59,61.59
0.528,1.0,-60.38,61.38
0.531,1.0,-60.3,61.3
0.534,1.0,-60.02,61.02
0.537,1.0,-59.77,60.77
0.54,1.0,-59.58,60.58
0.543,1.0,-59.46,60.46
0.546,1.0,-59.14,60.14
0.549,1.0,-58.97,59.97
0.552,1.0,-58.82,59.82
0.555,1.0,-58.48,59.48
0.558,1.0,-58.37,59.37
0.561,1.0,-58.14,59.14
0.564,1.0,0.0,1.0
0.567,1.0,-57.78,58.78
0.57,1.0,-57.56,58.56
0.573,1.0,-57.31,58.31
0.576,1.0,-57.1,58.1
0.579,1.0,-56.83,57.83
0.582,1.0,-56.57,57.57
0.585,1.0,-56.28,57.28
0.588,1.0,-55.93,56.93
0.591,1.0,-55.62,56.62
0.594,1.0,-55.19,56.19
0.597,1.0,-54.81,55.81
0.6,1.0,-54.52,55.52
0.603,1.0,-54.16,55.16
0.606,1.0,-53.64,54.64
0.609,1.0,-53.46,54.46
0.612,1.0,-53.34,54.34
0.615,1.0,-52.95,53.95
0.618,1.0,-52.76,53.76
0.621,1.0,-52.61,53.61
0.624,1.0,-52.46,53.46
0.627,1.0,-52.33,53.33
0.631,1.0,-52.13,53.13
0.634,1.0,-52.1,53.1
0.637,1.0,-51.69,52.69
0.64,1.0,-51.75,52.75
0.643,1.0,-51.53,52.53
0.646,1.0,0.0,1.0
0.648,1.0,-51.19,52.19
0.651,1.0,-51.32,52.32
0.654,1.0,-51.01,52.01
0.657,1.0,-50.78,51.78
0.66,1.0,-50.71,51.71
0.663,1.0,-50.65,51.65
0.666,1.0,-50.35,51.35
0.669,1.0,-50.12,51.12
0.673,1.0,-50.09,51.09
0.676,1.0,-49.71,50.71
0.679,1.0,-49.61,50.61
0.682,1.0,-49.48,50.48
0.685,1.0,-49.24,50.24
0.688,1.0,-48.89,49.89
0.691,1.0,-48.82,49.82
0.694,1.0,-48.61,49.61
0.697,1.0,-48.26,49.26
0.7,1.0,-48.08,49.08
0.703,1.0,-47.88,48.88
0.706,1.0,-47.67,48.67
0.709,1.0,-47.4,48.4
0.712,1.0,-47.11,48.11
0.715,1.0,-46.76,47.76
0.718,1.0,-46.46,47.46
0.721,1.0,-46.28,47.28
0.724,1.0,-46.02,47.02
0.727,1.0,0.0,1.0
0.73,1.0,-45.75,46.75
0.733,1.0,-45.63,46.63
0.736,1.0,-45.42,46.42
0.739,1.0,-45.03,46.03
0.742,1.0,-45.11,46.11
0.745,1.0,-44.77,45.77
0.748,1.0,-44.46,45.46
0.751,1.0,-44.76,45.76
0.754,1.0,-44.66,45.66
0.757,1.0,-44.21,45.21
0.76,1.0,-44.1,45.1
0.763,1.0,-44.36,45.36
0.766,1.0,-44.38,45.38
0.769,1.0,-44.12,45.12
0.772,1.0,-43.88,44.88
0.775,1.0,-43.75,44.75
0.778,1.0,-43.85,44.85
0.781,1.0,-44.19,45.19
0.784,1.0,-44.15,45.15
0.787,1.0,-43.9,44.9
0.791,1.0,-43.85,44.85
0.794,1.0,-43.59,44.59
0.797,1.0,-43.58,44.58
0.8,1.0,-43.35,44.35
0.803,1.0,-43.16,44.16
0.806,1.0,-43.07,44.07
0.809,1.0,0.0,1.0
0.811,1.0,-43.26,44.26
0.814,1.0,-43.35,44.35
0.817,1.0,-43.29,44.29
0.82,1.0,-43.48,44.48
0.823,1.0,-43.59,44.59
0.826,1.0,-43.56,44.56
0.829,1.0,-43.54,44.54
0.833,1.0,-43.69,44.69
0.836,1.0,-43.67,44.67
0.839,1.0,-43.65,44.65
0.842,1.0,-43.8,44.8
0.845,1.0,-43.7,44.7
0.848,1.0,-43.7,44.7
0.851,1.0,-43.87,44.87
0.854,1.0,-43.93,44.93
0.857,1.0,-43.82,44.82
0.86,1.0,-43.91,44.91
0.863,1.0,-44.02,45.02
0.866,1.0,-43.92,44.92
0.869,1.0,-44.02,45.02
0.872,1.0,-44.16,45.16
0.875,1.0,-44.01,45.01
0.878,1.0,-44.09,45.09
0.881,1.0,-44.23,45.23
0.884,1.0,-44.06,45.06
0.887,1.0,-44.06,45.06
0.89,1.0,0.0,1.0
0.893,1.0,-44.24,45.24
0.896,1.0,-44.26,45.26
0.899,1.0,-44.18,45.18
0.902,1.0,-44.36,45.36
0.905,1.0,-44.26,45.26
0.908,1.0,-44.32,45.32
0.911,1.0,-44.52,45.52
0.914,1.0,-44.39,45.39
0.917,1.0,-44.32,45.32
0.92,1.0,-44.5,45.5
0.923,1.0,-44.62,45.62
0.926,1.0,-44.54,45.54
0.929,1.0,-44.59,45.59
0.932,1.0,-44.67,45.67
0.935,1.0,-44.54,45.54
0.938,1.0,-44.55,45.55
0.941,1.0,-44.69,45.69
0.944,1.0,-44.62,45.62
0.948,1.0,-44.69,45.69
