Time_sec,Reference_Force_N,Actual_Force_N,Error_N
0.0,0.0,-74.69,74.69
0.0,0.0,-74.69,74.69
0.003,0.0,-74.67,74.67
0.006,0.0,0.0,0.0
0.008,0.0,-74.65,74.65
0.011,0.0,-74.63,74.63
0.014,0.0,-74.62,74.62
0.017,0.0,-74.67,74.67
0.021,0.0,-74.68,74.68
0.024,0.0,-74.71,74.71
0.027,0.0,-74.7,74.7
0.03,0.0,-74.64,74.64
0.033,3.0,-74.68,77.68
0.036,3.0,-74.69,77.69
0.039,3.0,-74.64,77.64
0.042,3.0,-74.23,77.23
0.045,3.0,-73.84,76.84
0.048,3.0,-73.86,76.86
0.051,3.0,-73.98,76.98
0.054,3.0,-73.96,76.96
0.057,3.0,-73.9,76.9
0.06,3.0,-73.88,76.88
0.063,3.0,-73.79,76.79
0.066,3.0,-73.72,76.72
0.069,3.0,-73.68,76.68
0.072,3.0,-73.61,76.61
0.075,3.0,-73.59,76.59
0.078,3.0,-73.65,76.65
0.081,3.0,-73.63,76.63
0.084,3.0,-73.63,76.63
0.087,3.0,0.0,3.0
0.09,3.0,-73.61,76.61
0.093,3.0,-73.55,76.55
0.096,3.0,-73.47,76.47
0.099,3.0,-73.38,76.38
0.102,3.0,-73.35,76.35
0.105,3.0,-73.33,76.33
0.108,3.0,-73.2,76.2
0.111,3.0,-73.09,76.09
0.114,3.0,-73.01,76.01
0.117,3.0,-72.87,75.87
0.12,3.0,-72.67,75.67
0.123,3.0,-72.53,75.53
0.126,3.0,-72.42,75.42
0.129,3.0,-72.24,75.24
0.132,3.0,-72.1,75.1
0.135,3.0,-71.97,74.97
0.139,3.0,-71.86,74.86
0.142,3.0,-71.72,74.72
0.145,3.0,-71.58,74.58
0.148,3.0,-71.39,74.39
0.151,3.0,-71.18,74.18
0.154,3.0,-70.91,73.91
0.157,3.0,-70.6,73.6
0.16,3.0,-70.26,73.26
0.163,3.0,-69.85,72.85
0.166,3.0,0.0,3.0
0.168,3.0,-69.43,72.43
0.171,3.0,-68.95,71.95
0.174,3.0,-68.44,71.44
0.177,3.0,-67.9,70.9
0.181,3.0,-67.27,70.27
0.184,3.0,-66.71,69.71
0.187,3.0,-66.2,69.2
0.19,3.0,-65.63,68.63
0.193,3.0,-65.13,68.13
0.196,3.0,-64.7,67.7
0.199,3.0,-64.33,67.33
0.202,3.0,-63.84,66.84
0.205,3.0,-63.42,66.42
0.208,3.0,-63.08,66.08
0.211,3.0,-62.64,65.64
0.214,3.0,-62.22,65.22
0.217,3.0,-61.78,64.78
0.22,3.0,-61.28,64.28
0.223,3.0,-60.77,63.77
0.226,3.0,-60.27,63.27
0.229,3.0,-59.73,62.73
0.232,3.0,-59.16,62.16
0.235,3.0,-58.57,61.57
0.238,3.0,-58.04,61.04
0.241,3.0,-57.5,60.5
0.244,3.0,-56.93,59.93
0.247,3.0,0.0,3.0
0.25,3.0,-56.58,59.58
0.253,3.0,-56.1,59.1
0.256,3.0,-55.64,58.64
0.259,3.0,-55.34,58.34
0.262,3.0,-55.06,58.06
0.265,3.0,-54.64,57.64
0.268,3.0,-54.37,57.37
0.271,3.0,-54.18,57.18
0.274,3.0,-53.8,56.8
0.277,3.0,-53.46,56.46
0.28,3.0,-53.14,56.14
0.283,3.0,-52.73,55.73
0.286,3.0,-52.31,55.31
0.289,3.0,-51.99,54.99
0.292,3.0,-51.57,54.57
0.296,3.0,-51.09,54.09
0.299,3.0,-50.68,53.68
0.302,3.0,-50.38,53.38
0.305,3.0,-49.82,52.82
0.308,3.0,-49.38,52.38
0.311,3.0,-49.04,52.04
0.314,3.0,-48.53,51.53
0.317,3.0,-48.07,51.07
0.32,3.0,-47.72,50.72
0.323,3.0,-47.22,50.22
0.326,3.0,-46.88,49.88
0.329,3.0,0.0,3.0
0.331,3.0,-46.7,49.7
0.334,3.0,-46.35,49.35
0.338,3.0,-45.95,48.95
0.341,3.0,-45.76,48.76
0.344,3.0,-45.49,48.49
0.347,3.0,-45.35,48.35
0.35,3.0,-45.19,48.19
0.353,3.0,-44.96,47.96
0.356,3.0,-44.57,47.57
0.359,3.0,-44.49,47.49
0.362,3.0,-44.4,47.4
0.365,3.0,-44.11,47.11
0.368,3.0,-44.01,47.01
0.371,3.0,-43.8,46.8
0.374,3.0,-43.59,46.59
0.377,3.0,-43.25,46.25
0.38,3.0,-43.12,46.12
0.383,3.0,-42.86,45.86
0.386,3.0,-42.61,45.61
0.389,3.0,-42.49,45.49
0.392,3.0,-42.24,45.24
0.395,3.0,-41.78,44.78
0.398,3.0,-41.55,44.55
0.401,3.0,-41.3,44.3
0.404,3.0,-40.99,43.99
0.407,3.0,-40.76,43.76
0.411,3.0,0.0,3.0
0.413,3.0,-40.4,43.4
0.416,3.0,-40.02,43.02
0.419,3.0,-39.75,42.75
0.422,3.0,-39.43,42.43
0.425,3.0,-38.96,41.96
0.428,3.0,-38.58,41.58
0.431,3.0,-38.23,41.23
0.434,3.0,-37.8,40.8
0.437,3.0,-37.53,40.53
0.44,3.0,-37.31,40.31
0.443,3.0,-36.94,39.94
0.446,3.0,-36.68,39.68
0.449,3.0,-36.51,39.51
0.453,3.0,-36.32,39.32
0.456,3.0,-35.82,38.82
0.459,3.0,-35.83,38.83
0.462,3.0,-35.72,38.72
0.465,3.0,-35.58,38.58
0.468,3.0,-35.6,38.6
0.471,3.0,-35.41,38.41
0.474,3.0,-35.25,38.25
0.477,3.0,-35.16,38.16
0.48,3.0,-34.94,37.94
0.483,3.0,-34.57,37.57
0.486,3.0,-34.51,37.51
0.489,3.0,-34.64,37.64
0.492,3.0,0.0,3.0
0.495,3.0,-34.46,37.46
0.498,3.0,-34.31,37.31
0.501,3.0,-34.38,37.38
0.504,3.0,-34.26,37.26
0.507,3.0,-34.12,37.12
0.51,3.0,-34.01,37.01
0.513,3.0,-33.85,36.85
0.516,3.0,-33.37,36.37
0.519,3.0,-33.24,36.24
0.522,3.0,-33.36,36.36
0.525,3.0,-33.07,36.07
0.528,3.0,-32.96,35.96
0.531,3.0,-32.9,35.9
0.534,3.0,-32.47,35.47
0.537,3.0,-32.32,35.32
0.54,3.0,-32.02,35.02
0.543,3.0,-31.57,34.57
0.546,3.0,-31.5,34.5
0.549,3.0,-31.29,34.29
0.552,3.0,-31.17,34.17
0.555,3.0,-30.8,33.8
0.558,3.0,-30.63,33.629999999999995
0.561,3.0,-30.21,33.21
0.564,3.0,-29.95,32.95
0.567,3.0,-29.75,32.75
0.571,3.0,-29.53,32.53
0.574,3.0,0.0,3.0
0.576,3.0,-29.05,32.05
0.579,3.0,-28.65,31.65
0.582,3.0,-28.55,31.55
0.585,3.0,-28.12,31.12
0.588,3.0,-27.82,30.82
0.591,3.0,-27.54,30.54
0.594,3.0,-27.2,30.2
0.597,3.0,-27.13,30.13
0.6,3.0,-26.93,29.93
0.603,3.0,-26.81,29.81
0.606,3.0,-26.55,29.55
0.609,3.0,-26.54,29.54
0.613,3.0,-26.36,29.36
0.616,3.0,-25.94,28.94
0.619,3.0,-25.9,28.9
0.622,3.0,-26.09,29.09
0.625,3.0,-25.89,28.89
0.628,3.0,-25.72,28.72
0.631,3.0,-25.75,28.75
0.634,3.0,-25.71,28.71
0.637,3.0,-25.72,28.72
0.64,3.0,-25.63,28.63
0.643,3.0,-25.52,28.52
0.646,3.0,-25.5,28.5
0.649,3.0,-25.31,28.31
0.652,3.0,-25.27,28.27
0.655,3.0,0.0,3.0
0.658,3.0,-25.25,28.25
0.661,3.0,-25.46,28.46
