Time_sec,Reference_Force_N,Actual_Force_N,Error_N
0.0,0.0,-66.34,66.34
0.0,0.0,-66.31,66.31
0.003,0.0,-66.3,66.3
0.006,0.0,-66.01,66.01
0.009,0.0,-65.82,65.82
0.012,0.0,-65.71,65.71
0.015,0.0,-65.5,65.5
0.018,0.0,-65.42,65.42
0.021,0.0,-65.44,65.44
0.024,0.0,-65.51,65.51
0.027,0.0,-65.48,65.48
0.03,0.0,-65.47,65.47
0.033,0.0,-65.51,65.51
0.036,0.0,-65.5,65.5
0.039,0.0,-65.47,65.47
0.042,0.0,-65.44,65.44
0.046,0.0,-65.46,65.46
0.049,0.0,-65.43,65.43
0.052,0.0,-65.43,65.43
0.055,0.0,-65.41,65.41
0.058,0.0,-65.44,65.44
0.061,0.0,-65.44,65.44
0.064,0.0,-65.38,65.38
0.067,0.0,-65.42,65.42
0.07,0.0,0.0,0.0
0.072,0.0,-65.46,65.46
0.075,0.0,-65.48,65.48
0.078,0.0,-65.47,65.47
0.081,0.0,-65.41,65.41
0.084,0.0,-65.45,65.45
0.088,0.0,-65.5,65.5
0.091,0.0,-65.56,65.56
0.094,0.0,-65.52,65.52
0.097,0.0,-65.49,65.49
0.1,0.0,-65.46,65.46
0.103,0.0,-65.45,65.45
0.106,0.0,-65.5,65.5
0.109,0.0,-65.53,65.53
0.112,0.0,-65.52,65.52
0.115,0.0,-65.5,65.5
0.118,0.0,-65.42,65.42
0.121,0.0,-65.45,65.45
0.124,0.0,-65.48,65.48
0.127,0.0,-65.46,65.46
0.13,0.0,-65.48,65.48
0.133,0.0,-65.45,65.45
0.136,0.0,-65.46,65.46
0.139,0.0,-65.48,65.48
0.142,0.0,-65.46,65.46
0.145,0.0,-65.47,65.47
0.148,0.0,-65.53,65.53
0.151,0.0,0.0,0.0
0.154,0.0,-65.54,65.54
0.157,0.0,-65.5,65.5
0.16,0.0,-65.52,65.52
0.163,0.0,-65.54,65.54
0.166,0.0,-65.51,65.51
0.169,0.0,-65.49,65.49
0.172,0.0,-65.48,65.48
0.175,0.0,-65.48,65.48
0.178,0.0,-65.48,65.48
0.181,0.0,-65.49,65.49
0.184,0.0,-65.51,65.51
0.187,0.0,-65.5,65.5
0.19,0.0,-65.48,65.48
0.193,0.0,-65.46,65.46
0.196,0.0,-65.42,65.42
0.199,0.0,-65.44,65.44
0.203,0.0,-65.5,65.5
0.206,0.0,-65.48,65.48
0.209,0.0,-65.46,65.46
0.212,0.0,-65.46,65.46
0.215,0.0,-65.45,65.45
0.218,0.0,-65.48,65.48
0.221,0.0,-65.48,65.48
0.224,0.0,-65.44,65.44
0.227,0.0,-65.44,65.44
0.23,0.0,-65.46,65.46
0.233,0.0,0.0,0.0
0.235,0.0,-65.45,65.45
0.238,0.0,-65.5,65.5
0.241,0.0,-65.49,65.49
0.245,0.0,-65.48,65.48
0.248,0.0,-65.49,65.49
0.251,0.0,-65.47,65.47
0.254,0.0,-65.43,65.43
0.257,0.0,-65.46,65.46
0.26,0.0,-65.46,65.46
0.263,0.0,-65.43,65.43
0.266,0.0,-65.45,65.45
0.269,0.0,-65.47,65.47
0.272,0.0,-65.48,65.48
0.275,0.0,-65.48,65.48
0.278,0.0,-65.48,65.48
0.281,0.0,-65.52,65.52
0.284,0.0,-65.52,65.52
0.287,0.0,-65.46,65.46
0.29,0.0,-65.45,65.45
0.293,0.0,-65.48,65.48
0.296,0.0,-65.49,65.49
0.299,0.0,-65.48,65.48
0.302,0.0,-65.5,65.5
0.305,0.0,-65.49,65.49
0.308,0.0,-65.47,65.47
0.311,0.0,-65.44,65.44
0.314,0.0,0.0,0.0
0.317,0.0,-65.44,65.44
0.32,0.0,-65.48,65.48
0.323,0.0,-65.5,65.5
0.326,0.0,-65.51,65.51
0.329,0.0,-65.53,65.53
0.332,0.0,-65.48,65.48
0.335,0.0,-65.37,65.37
0.338,0.0,-65.38,65.38
0.341,0.0,-65.47,65.47
0.344,0.0,-65.46,65.46
0.347,0.0,-65.46,65.46
0.35,0.0,-65.46,65.46
0.353,0.0,-65.44,65.44
0.356,0.0,-65.42,65.42
0.359,0.0,-65.48,65.48
0.363,0.0,-65.47,65.47
0.366,0.0,-65.46,65.46
0.369,0.0,-65.48,65.48
0.372,0.0,-65.45,65.45
0.375,0.0,-65.46,65.46
0.378,0.0,-65.46,65.46
0.381,0.0,-65.46,65.46
0.384,0.0,-65.49,65.49
0.387,0.0,-65.52,65.52
0.39,0.0,-65.53,65.53
0.393,0.0,-65.47,65.47
0.396,0.0,0.0,0.0
0.398,0.0,-65.52,65.52
0.401,0.0,-65.47,65.47
0.405,0.0,-65.44,65.44
0.408,0.0,-65.46,65.46
0.411,0.0,-65.46,65.46
0.414,0.0,-65.48,65.48
0.417,0.0,-65.51,65.51
0.42,0.0,-65.47,65.47
0.423,0.0,-65.46,65.46
0.426,0.0,-65.47,65.47
0.429,0.0,-65.5,65.5
0.432,0.0,-65.5,65.5
0.435,0.0,-65.46,65.46
0.438,0.0,-65.48,65.48
0.441,0.0,-65.5,65.5
0.444,0.0,-65.46,65.46
0.447,0.0,-65.47,65.47
0.45,0.0,-65.48,65.48
0.453,0.0,-65.48,65.48
0.456,0.0,-65.49,65.49
0.459,0.0,-65.48,65.48
0.462,0.0,-65.48,65.48
0.465,0.0,-65.48,65.48
0.468,0.0,-65.46,65.46
0.471,0.0,-65.45,65.45
0.474,0.0,-65.48,65.48
0.478,0.0,0.0,0.0
0.48,0.0,-65.48,65.48
0.483,0.0,-65.49,65.49
0.486,0.0,-65.45,65.45
0.489,0.0,-65.43,65.43
0.492,0.0,-65.49,65.49
0.495,0.0,-65.52,65.52
0.498,0.0,-65.46,65.46
0.501,0.0,-65.47,65.47
0.504,0.0,-65.5,65.5
0.507,0.0,-65.47,65.47
0.51,1.0,-65.46,66.46
0.513,1.0,-65.47,66.47
0.516,1.0,-65.47,66.47
0.52,1.0,-65.31,66.31
0.523,1.0,-65.12,66.12
0.526,1.0,-64.89,65.89
0.529,1.0,-64.76,65.76
0.532,1.0,-64.52,65.52
0.535,1.0,-64.17,65.17
0.538,1.0,-64.0,65.0
0.541,1.0,-63.87,64.87
0.544,1.0,-63.53,64.53
0.547,1.0,-63.3,64.3
0.55,1.0,-63.12,64.12
0.553,1.0,-62.78,63.78
0.556,1.0,-62.66,63.66
0.559,1.0,0.0,1.0
0.562,1.0,-62.3,63.3
0.565,1.0,-61.94,62.94
0.568,1.0,-61.73,62.73
0.571,1.0,-61.41,62.41
0.574,1.0,-61.18,62.18
0.577,1.0,-60.82,61.82
0.58,1.0,-60.61,61.61
0.583,1.0,-60.23,61.23
0.586,1.0,-59.9,60.9
0.589,1.0,-59.66,60.66
0.592,1.0,-59.31,60.31
0.595,1.0,-59.04,60.04
0.598,1.0,-58.69,59.69
0.601,1.0,-58.38,59.38
0.604,1.0,-58.02,59.02
0.607,1.0,-57.69,58.69
0.61,1.0,-57.33,58.33
0.613,1.0,-56.95,57.95
0.616,1.0,-56.66,57.66
0.619,1.0,-56.3,57.3
0.622,1.0,-55.9,56.9
0.625,1.0,-55.52,56.52
0.628,1.0,-55.3,56.3
0.631,1.0,-54.91,55.91
0.635,1.0,-54.61,55.61
0.638,1.0,-54.28,55.28
0.641,1.0,0.0,1.0
0.643,1.0,-54.0,55.0
0.646,1.0,-53.63,54.63
0.649,1.0,-53.55,54.55
0.652,1.0,-53.35,54.35
0.655,1.0,-53.04,54.04
0.658,1.0,-52.84,53.84
0.661,1.0,-52.72,53.72
0.664,1.0,-52.51,53.51
0.667,1.0,-52.37,53.37
0.67,1.0,-52.29,53.29
0.673,1.0,-52.06,53.06
0.677,1.0,-51.93,52.93
0.68,1.0,-51.67,52.67
0.683,1.0,-51.4,52.4
0.686,1.0,-51.48,52.48
0.689,1.0,-51.6,52.6
0.692,1.0,-51.55,52.55
0.695,1.0,-51.35,52.35
0.698,1.0,-51.17,52.17
0.701,1.0,-51.11,52.11
0.704,1.0,-50.63,51.63
0.707,1.0,-50.54,51.54
0.71,1.0,-50.84,51.84
0.713,1.0,-50.94,51.94
0.716,1.0,-50.91,51.91
0.719,1.0,-50.85,51.85
0.722,1.0,0.0,1.0
0.725,1.0,-50.69,51.69
0.728,1.0,-50.61,51.61
0.731,1.0,-50.73,51.73
0.734,1.0,-50.73,51.73
0.737,1.0,-50.79,51.79
0.74,1.0,-50.86,51.86
0.743,1.0,-50.81,51.81
0.746,1.0,-50.82,51.82
0.749,1.0,-50.86,51.86
0.752,1.0,-50.8,51.8
0.755,1.0,-50.81,51.81
0.758,1.0,-50.86,51.86
0.761,1.0,-50.92,51.92
0.764,1.0,-50.91,51.91
0.767,1.0,-50.96,51.96
0.77,1.0,-50.95,51.95
0.773,1.0,-50.9,51.9
0.776,1.0,-50.88,51.88
0.779,1.0,-50.92,51.92
0.782,1.0,-50.89,51.89
0.785,1.0,-50.91,51.91
0.788,1.0,-50.97,51.97
0.791,1.0,-50.95,51.95
0.795,1.0,-50.97,51.97
0.798,1.0,-50.97,51.97
0.801,1.0,-51.0,52.0
0.804,1.0,0.0,1.0
0.806,1.0,-50.95,51.95
0.809,1.0,-50.99,51.99
0.812,1.0,-51.01,52.01
0.815,1.0,-50.98,51.98
0.818,1.0,-51.0,52.0
0.821,1.0,-51.02,52.02
0.824,1.0,-51.05,52.05
0.827,1.0,-51.06,52.06
0.83,1.0,-51.09,52.09
0.833,1.0,-51.04,52.04
0.837,1.0,-51.03,52.03
0.84,1.0,-51.08,52.08
0.843,1.0,-51.03,52.03
0.846,1.0,-51.02,52.02
0.849,1.0,-51.07,52.07
0.852,1.0,-50.98,51.98
0.855,1.0,-50.98,51.98
0.858,1.0,-51.06,52.06
0.861,1.0,-51.07,52.07
0.864,1.0,-51.02,52.02
0.867,1.0,-51.11,52.11
0.87,1.0,-51.16,52.16
0.873,1.0,-51.07,52.07
0.876,1.0,-51.11,52.11
0.879,1.0,-51.18,52.18
0.882,1.0,-51.1,52.1
0.885,1.0,0.0,1.0
0.888,1.0,-51.09,52.09
0.891,1.0,-51.13,52.13
0.894,1.0,-51.09,52.09
0.897,1.0,-51.07,52.07
0.9,1.0,-51.18,52.18
0.903,1.0,-51.09,52.09
0.906,1.0,-51.06,52.06
0.909,1.0,-51.15,52.15
0.912,1.0,-51.12,52.12
0.915,1.0,-51.09,52.09
0.918,1.0,-51.16,52.16
0.921,1.0,-51.16,52.16
0.924,1.0,-51.09,52.09
0.927,1.0,-51.11,52.11
0.93,1.0,-51.2,52.2
0.933,1.0,-51.13,52.13
0.936,1.0,-51.19,52.19
0.939,1.0,-51.24,52.24
0.942,1.0,-51.11,52.11
0.945,1.0,-51.08,52.08
0.948,1.0,-51.15,52.15
0.952,1.0,-51.15,52.15
0.955,1.0,-51.12,52.12
0.958,1.0,-51.15,52.15
0.961,1.0,-51.14,52.14
0.964,1.0,-51.14,52.14
0.967,1.0,0.0,1.0
0.969,1.0,-51.17,52.17
0.972,1.0,-51.2,52.2
0.975,1.0,-51.14,52.14
0.978,1.0,-51.17,52.17
0.981,1.0,-51.19,52.19
0.984,1.0,-51.11,52.11
0.987,1.0,-51.14,52.14
0.99,1.0,-51.21,52.21
0.994,1.0,-51.15,52.15
0.997,1.0,-51.16,52.16
1.0,1.0,-51.17,52.17
1.003,1.0,-51.15,52.15
1.006,1.0,-51.15,52.15
1.009,1.0,-51.19,52.19
1.012,1.0,-51.11,52.11
1.015,1.0,-51.1,52.1
1.018,1.0,-51.15,52.15
1.021,1.0,-51.18,52.18
1.024,1.0,-51.12,52.12
1.027,1.0,-51.17,52.17
1.03,1.0,-51.24,52.24
1.033,1.0,-51.15,52.15
1.036,1.0,-51.16,52.16
1.039,1.0,-51.17,52.17
1.042,1.0,-51.1,52.1
1.045,1.0,-51.12,52.12
1.048,1.0,0.0,1.0
1.051,1.0,-51.22,52.22
1.054,1.0,-51.17,52.17
1.057,1.0,-51.2,52.2
1.06,1.0,-51.25,52.25
1.063,1.0,-51.22,52.22
1.066,1.0,-51.22,52.22
1.069,1.0,-51.27,52.27
1.072,1.0,-51.16,52.16
1.075,1.0,-51.12,52.12
1.078,1.0,-51.21,52.21
1.081,1.0,-51.2,52.2
1.084,1.0,-51.12,52.12
1.087,1.0,-51.22,52.22
1.09,1.0,-51.29,52.29
1.093,1.0,-51.21,52.21
1.096,1.0,-51.16,52.16
1.099,1.0,-51.18,52.18
1.102,1.0,-51.16,52.16
1.105,1.0,-51.14,52.14
1.108,1.0,-51.24,52.24
1.112,1.0,-51.2,52.2
1.115,1.0,-51.19,52.19
1.118,1.0,-51.27,52.27
1.121,1.0,-51.26,52.26
1.124,1.0,-51.21,52.21
1.127,1.0,-51.22,52.22
1.13,1.0,0.0,1.0
1.132,1.0,-51.26,52.26
1.135,1.0,-51.15,52.15
1.138,1.0,-51.16,52.16
1.141,1.0,-51.25,52.25
1.144,1.0,-51.21,52.21
1.147,1.0,-51.19,52.19
1.15,1.0,-51.21,52.21
1.154,1.0,-51.14,52.14
1.157,1.0,-51.19,52.19
1.16,1.0,-51.32,52.32
1.163,1.0,-51.25,52.25
1.166,1.0,-51.23,52.23
1.169,1.0,-51.26,52.26
1.172,1.0,-51.21,52.21
1.175,1.0,-51.17,52.17
1.178,1.0,-51.25,52.25
1.181,1.0,-51.27,52.27
1.184,1.0,-51.22,52.22
1.187,1.0,-51.25,52.25
1.19,1.0,-51.28,52.28
1.193,1.0,-51.18,52.18
1.196,1.0,-51.23,52.23
1.199,1.0,-51.27,52.27
1.202,1.0,-51.18,52.18
1.205,1.0,-51.23,52.23
1.208,1.0,-51.28,52.28
1.211,1.0,0.0,1.0
1.214,1.0,-51.28,52.28
1.217,1.0,-51.22,52.22
1.22,1.0,-51.27,52.27
1.223,1.0,-51.24,52.24
1.226,1.0,-51.2,52.2
1.229,1.0,-51.33,52.33
1.232,1.0,-51.26,52.26
1.235,1.0,-51.18,52.18
1.238,1.0,-51.29,52.29
1.241,1.0,-51.35,52.35
1.244,1.0,-51.27,52.27
1.247,1.0,-51.25,52.25
1.25,1.0,-51.35,52.35
1.253,1.0,-51.3,52.3
1.256,1.0,-51.33,52.33
1.259,1.0,-51.4,52.4
1.262,1.0,-51.27,52.27
1.265,1.0,-51.19,52.19
1.269,1.0,-51.31,52.31
1.272,1.0,-51.26,52.26
1.275,1.0,-51.17,52.17
1.278,1.0,-51.31,52.31
1.281,1.0,-51.31,52.31
1.284,1.0,-51.27,52.27
1.287,1.0,-51.36,52.36
1.29,1.0,-51.32,52.32
1.293,1.0,0.0,1.0
1.295,1.0,-51.21,52.21
1.298,1.0,-51.28,52.28
1.301,1.0,-51.35,52.35
1.304,1.0,-51.3,52.3
1.307,1.0,-51.28,52.28
1.311,1.0,-51.36,52.36
1.314,1.0,-51.3,52.3
1.317,1.0,-51.28,52.28
1.32,1.0,-51.35,52.35
1.323,1.0,-51.28,52.28
1.326,1.0,-51.26,52.26
1.329,1.0,-51.31,52.31
1.332,1.0,-51.27,52.27
1.335,1.0,-51.26,52.26
1.338,1.0,-51.32,52.32
1.341,1.0,-51.38,52.38
1.344,1.0,-51.25,52.25
1.347,1.0,-51.23,52.23
1.35,1.0,-51.28,52.28
1.353,1.0,-51.25,52.25
1.356,1.0,-51.37,52.37
1.359,1.0,-51.4,52.4
1.362,1.0,-51.3,52.3
1.365,1.0,-51.32,52.32
1.368,1.0,-51.39,52.39
1.371,1.0,-51.26,52.26
1.374,1.0,0.0,1.0
1.377,1.0,-51.24,52.24
1.38,1.0,-51.36,52.36
1.383,1.0,-51.32,52.32
1.386,1.0,-51.26,52.26
1.389,1.0,-51.36,52.36
1.392,1.0,-51.38,52.38
1.395,1.0,-51.28,52.28
1.398,1.0,-51.31,52.31
1.401,1.0,-51.39,52.39
1.404,1.0,-51.35,52.35
1.407,1.0,-51.34,52.34
1.41,1.0,-51.45,52.45
1.413,1.0,-51.35,52.35
1.416,1.0,-51.29,52.29
1.419,1.0,-51.42,52.42
1.422,1.0,-51.38,52.38
1.426,1.0,-51.32,52.32
1.429,1.0,-51.37,52.37
1.432,1.0,-51.28,52.28
1.435,1.0,-51.27,52.27
1.438,1.0,-51.34,52.34
1.441,1.0,-51.34,52.34
1.444,1.0,-51.27,52.27
1.447,1.0,-51.35,52.35
1.45,1.0,-51.39,52.39
1.453,1.0,-51.34,52.34
1.456,1.0,0.0,1.0
1.458,1.0,-51.39,52.39
1.461,1.0,-51.42,52.42
1.464,1.0,-51.32,52.32
1.468,1.0,-51.29,52.29
1.471,1.0,-51.41,52.41
1.474,1.0,-51.37,52.37
1.477,1.0,-51.3,52.3
1.48,1.0,-51.38,52.38
1.483,1.0,-51.31,52.31
1.486,1.0,-51.32,52.32
1.489,1.0,-51.41,52.41
1.492,1.0,-51.35,52.35
1.495,1.0,-51.34,52.34
1.498,1.0,-51.37,52.37
1.501,1.0,-51.41,52.41
1.504,1.0,-51.31,52.31
1.507,1.0,-51.35,52.35
1.51,1.0,-51.47,52.47
1.513,1.0,-51.35,52.35
1.516,1.0,-51.36,52.36
1.519,1.0,-51.4,52.4
1.522,1.0,-51.28,52.28
1.525,1.0,-51.31,52.31
1.528,1.0,-51.39,52.39
1.531,1.0,-51.36,52.36
1.534,1.0,-51.35,52.35
1.537,1.0,0.0,1.0
1.54,1.0,-51.43,52.43
1.543,1.0,-51.39,52.39
1.546,1.0,-51.26,52.26
1.549,1.0,-51.38,52.38
1.552,1.0,-51.42,52.42
1.555,1.0,-51.33,52.33
1.558,1.0,-51.39,52.39
1.561,1.0,-51.43,52.43
1.564,1.0,-51.35,52.35
1.567,1.0,-51.39,52.39
1.57,1.0,-51.44,52.44
1.573,1.0,-51.39,52.39
1.576,1.0,-51.41,52.41
1.579,1.0,-51.48,52.48
1.582,1.0,-51.38,52.38
1.586,1.0,-51.38,52.38
1.589,1.0,-51.46,52.46
1.592,1.0,-51.36,52.36
1.595,1.0,-51.32,52.32
1.598,1.0,-51.38,52.38
1.601,1.0,-51.41,52.41
1.604,1.0,-51.34,52.34
1.607,1.0,-51.4,52.4
1.61,1.0,-51.5,52.5
1.613,1.0,-51.38,52.38
1.616,1.0,-51.37,52.37
1.619,1.0,0.0,1.0
1.621,1.0,-51.45,52.45
1.624,1.0,-51.44,52.44
1.628,1.0,-51.41,52.41
1.631,1.0,-51.44,52.44
1.634,1.0,-51.39,52.39
1.637,1.0,-51.39,52.39
1.64,1.0,-51.42,52.42
1.643,1.0,-51.38,52.38
1.646,1.0,-51.32,52.32
1.649,1.0,-51.41,52.41
1.652,1.0,-51.38,52.38
1.655,1.0,-51.31,52.31
1.658,1.0,-51.42,52.42
1.661,1.0,-51.48,52.48
1.664,1.0,-51.43,52.43
1.667,1.0,-51.49,52.49
1.67,1.0,-51.51,52.51
1.673,1.0,-51.4,52.4
1.676,1.0,-51.41,52.41
1.679,1.0,-51.47,52.47
1.682,1.0,-51.36,52.36
1.685,1.0,-51.37,52.37
1.688,1.0,-51.46,52.46
1.691,1.0,-51.42,52.42
1.694,1.0,-51.39,52.39
1.697,1.0,-51.47,52.47
1.701,1.0,0.0,1.0
1.703,1.0,-51.41,52.41
1.706,1.0,-51.36,52.36
1.709,1.0,-51.4,52.4
1.712,1.0,-51.37,52.37
1.715,1.0,-51.29,52.29
1.718,1.0,-51.33,52.33
1.721,1.0,-51.5,52.5
1.724,1.0,-51.45,52.45
1.727,1.0,-51.43,52.43
1.73,1.0,-51.5,52.5
1.733,1.0,-51.39,52.39
1.736,1.0,-51.4,52.4
1.739,1.0,-51.46,52.46
1.743,1.0,-51.38,52.38
1.746,1.0,-51.4,52.4
1.749,1.0,-51.49,52.49
1.752,1.0,-51.41,52.41
1.755,1.0,-51.42,52.42
1.758,1.0,-51.48,52.48
1.761,1.0,-51.47,52.47
1.764,1.0,-51.44,52.44
1.767,1.0,-51.48,52.48
1.77,1.0,-51.48,52.48
1.773,1.0,-51.38,52.38
1.776,1.0,-51.48,52.48
1.779,1.0,-51.48,52.48
1.782,1.0,0.0,1.0
1.785,1.0,-51.37,52.37
1.788,1.0,-51.41,52.41
1.791,1.0,-51.44,52.44
1.794,1.0,-51.38,52.38
1.797,1.0,-51.41,52.41
1.8,1.0,-51.5,52.5
1.803,1.0,-51.45,52.45
1.806,1.0,-51.38,52.38
1.809,1.0,-51.47,52.47
1.812,1.0,-51.42,52.42
1.815,1.0,-51.43,52.43
1.818,1.0,-51.49,52.49
1.821,1.0,-51.47,52.47
1.824,1.0,-51.36,52.36
1.827,1.0,-51.39,52.39
1.83,1.0,-51.44,52.44
1.833,1.0,-51.36,52.36
1.836,1.0,-51.45,52.45
1.839,1.0,-51.55,52.55
1.842,1.0,-51.45,52.45
1.845,1.0,-51.43,52.43
1.848,1.0,-51.43,52.43
1.851,1.0,-51.41,52.41
1.854,1.0,-51.35,52.35
1.858,1.0,-51.46,52.46
1.861,1.0,-51.47,52.47
1.864,1.0,0.0,1.0
1.866,1.0,-51.48,52.48
1.869,1.0,-51.5,52.5
1.872,1.0,-51.47,52.47
1.875,1.0,-51.46,52.46
1.878,1.0,-51.51,52.51
1.881,1.0,-51.52,52.52
1.884,1.0,-51.38,52.38
1.887,1.0,-51.38,52.38
1.89,1.0,-51.48,52.48
1.893,1.0,-51.39,52.39
1.896,1.0,-51.43,52.43
1.899,1.0,-51.5,52.5
1.903,1.0,-51.42,52.42
1.906,1.0,-51.45,52.45
1.909,1.0,-51.49,52.49
1.912,1.0,-51.41,52.41
