Time_sec,Reference_Force_N,Actual_Force_N,Error_N
0.0,1.0,-10.64,11.64
0.0,1.0,0.0,1.0
0.002,1.0,-10.64,11.64
0.005,1.0,-10.58,11.58
0.008,1.0,-10.58,11.58
0.011,1.0,-10.6,11.6
0.014,1.0,-10.58,11.58
0.017,1.0,-10.62,11.62
0.02,1.0,-10.62,11.62
0.023,1.0,-10.59,11.59
0.026,1.0,-10.59,11.59
0.029,1.0,-10.6,11.6
0.032,1.0,-10.61,11.61
0.035,1.0,-10.59,11.59
0.039,1.0,-10.6,11.6
0.042,1.0,-10.61,11.61
0.045,1.0,-10.61,11.61
0.048,1.0,-10.59,11.59
0.051,1.0,-10.58,11.58
0.054,1.0,-10.57,11.57
0.057,1.0,-10.59,11.59
0.06,1.0,-10.6,11.6
0.063,1.0,-10.61,11.61
0.066,1.0,-10.62,11.62
0.069,1.0,-10.63,11.63
0.072,1.0,0.0,1.0
0.074,1.0,-10.63,11.63
0.077,1.0,-10.63,11.63
0.081,1.0,-10.61,11.61
0.084,1.0,-10.6,11.6
0.087,1.0,-10.6,11.6
0.09,1.0,-10.6,11.6
0.093,1.0,-10.58,11.58
0.096,1.0,-10.58,11.58
0.099,1.0,-10.59,11.59
0.102,1.0,-10.59,11.59
0.105,1.0,-10.56,11.56
0.108,1.0,-10.58,11.58
0.111,1.0,-10.59,11.59
0.114,1.0,-10.6,11.6
0.117,1.0,-10.61,11.61
0.12,1.0,-10.59,11.59
0.123,1.0,-10.57,11.57
0.126,1.0,-10.58,11.58
0.129,1.0,-10.59,11.59
0.132,1.0,-10.62,11.62
0.135,1.0,-10.58,11.58
0.138,1.0,-10.58,11.58
0.141,1.0,-10.62,11.62
0.144,1.0,-10.6,11.6
0.147,1.0,-10.57,11.57
0.15,1.0,-10.6,11.6
0.154,1.0,0.0,1.0
0.156,1.0,-10.61,11.61
0.159,1.0,-10.58,11.58
0.162,1.0,-10.59,11.59
0.165,1.0,-10.59,11.59
0.168,1.0,-10.59,11.59
0.171,1.0,-10.61,11.61
0.174,1.0,-10.58,11.58
0.177,1.0,-10.6,11.6
0.18,1.0,-10.62,11.62
0.183,1.0,-10.61,11.61
0.186,1.0,-10.61,11.61
0.189,1.0,-10.6,11.6
0.192,1.0,-10.57,11.57
0.196,1.0,-10.58,11.58
0.199,1.0,-10.61,11.61
0.202,1.0,-10.59,11.59
0.205,1.0,-10.6,11.6
0.208,1.0,-10.6,11.6
0.211,1.0,-10.6,11.6
0.214,1.0,-10.6,11.6
0.217,1.0,-10.57,11.57
0.22,1.0,-10.6,11.6
0.223,1.0,-10.58,11.58
0.226,1.0,-10.58,11.58
0.229,1.0,-10.6,11.6
0.232,1.0,-10.59,11.59
0.235,1.0,0.0,1.0
0.238,1.0,-10.6,11.6
0.241,1.0,-10.62,11.62
0.244,1.0,-10.62,11.62
0.247,1.0,-10.61,11.61
0.25,1.0,-10.59,11.59
0.253,1.0,-10.58,11.58
0.256,1.0,-10.6,11.6
0.259,1.0,-10.58,11.58
0.262,1.0,-10.6,11.6
0.265,1.0,-10.55,11.55
0.268,1.0,-10.56,11.56
0.271,1.0,-10.58,11.58
0.274,1.0,-10.58,11.58
0.277,1.0,-10.6,11.6
0.28,1.0,-10.61,11.61
0.283,1.0,-10.63,11.63
0.286,1.0,-10.62,11.62
0.289,1.0,-10.61,11.61
0.292,1.0,-10.61,11.61
0.295,1.0,-10.58,11.58
0.298,1.0,-10.56,11.56
0.301,1.0,-10.57,11.57
0.304,1.0,-10.57,11.57
0.307,1.0,-10.6,11.6
0.31,1.0,-10.6,11.6
0.314,1.0,-10.59,11.59
0.317,1.0,0.0,1.0
0.319,1.0,-10.59,11.59
0.322,1.0,-10.57,11.57
0.325,1.0,-10.58,11.58
0.328,1.0,-10.59,11.59
0.331,1.0,-10.58,11.58
0.334,1.0,-10.61,11.61
0.337,1.0,-10.63,11.63
0.34,1.0,-10.62,11.62
0.343,1.0,-10.58,11.58
0.346,1.0,-10.58,11.58
0.349,1.0,-10.59,11.59
0.352,1.0,-10.57,11.57
0.356,1.0,-10.58,11.58
0.359,1.0,-10.59,11.59
0.362,1.0,-10.6,11.6
0.365,1.0,-10.6,11.6
0.368,1.0,-10.6,11.6
0.371,1.0,-10.59,11.59
0.374,1.0,-10.57,11.57
0.377,1.0,-10.6,11.6
0.38,1.0,-10.62,11.62
0.383,1.0,-10.58,11.58
0.386,1.0,-10.57,11.57
0.389,1.0,-10.58,11.58
0.392,1.0,-10.56,11.56
0.395,1.0,-10.57,11.57
0.398,1.0,0.0,1.0
0.401,1.0,-10.62,11.62
0.404,1.0,-10.63,11.63
0.407,1.0,-10.6,11.6
0.41,1.0,-10.58,11.58
0.413,1.0,-10.57,11.57
0.416,1.0,-10.6,11.6
0.419,1.0,-10.56,11.56
0.422,1.0,-10.6,11.6
0.425,1.0,-10.6,11.6
0.428,1.0,-10.57,11.57
0.431,1.0,-10.58,11.58
0.434,1.0,-10.59,11.59
0.437,1.0,-10.6,11.6
0.44,1.0,-10.61,11.61
0.443,1.0,-10.6,11.6
0.446,1.0,-10.58,11.58
0.449,1.0,-10.56,11.56
0.452,1.0,-10.6,11.6
0.455,1.0,-10.6,11.6
0.458,1.0,-10.57,11.57
0.461,1.0,-10.59,11.59
0.464,1.0,-10.61,11.61
0.467,1.0,-10.59,11.59
0.471,1.0,-10.6,11.6
0.474,1.0,-10.59,11.59
0.477,1.0,-10.57,11.57
0.48,1.0,0.0,1.0
0.482,1.0,-10.58,11.58
0.485,1.0,-10.58,11.58
0.488,1.0,-10.6,11.6
0.491,1.0,-10.6,11.6
0.494,1.0,-10.57,11.57
0.497,1.0,-10.59,11.59
0.5,1.0,-10.59,11.59
0.503,1.0,-10.56,11.56
0.506,1.0,-10.57,11.57
0.509,1.0,-10.59,11.59
0.513,1.0,-10.59,11.59
0.516,1.0,-10.6,11.6
0.519,1.0,-10.6,11.6
0.522,1.0,-10.6,11.6
0.525,1.0,-10.59,11.59
0.528,1.0,-10.59,11.59
0.531,1.0,-10.6,11.6
0.534,1.0,-10.59,11.59
0.537,1.0,-10.58,11.58
0.54,1.0,-10.59,11.59
0.543,1.0,-10.61,11.61
0.546,1.0,-10.6,11.6
0.549,1.0,-10.56,11.56
0.552,1.0,-10.54,11.54
0.555,1.0,-10.56,11.56
0.558,1.0,-10.57,11.57
0.561,1.0,0.0,1.0
0.564,1.0,-10.58,11.58
0.567,1.0,-10.59,11.59
0.57,1.0,-10.61,11.61
0.573,1.0,-10.64,11.64
0.576,1.0,-10.63,11.63
0.579,1.0,-10.6,11.6
0.582,1.0,-10.59,11.59
0.585,1.0,-10.61,11.61
0.588,1.0,-10.63,11.63
0.591,1.0,-10.61,11.61
0.594,1.0,-10.59,11.59
0.597,1.0,-10.62,11.62
0.6,1.0,-10.59,11.59
0.603,1.0,-10.58,11.58
0.606,1.0,-10.58,11.58
0.609,1.0,-10.58,11.58
0.612,1.0,-10.6,11.6
0.615,1.0,-10.62,11.62
0.618,1.0,-10.61,11.61
0.621,1.0,-10.59,11.59
0.624,1.0,-10.59,11.59
0.627,1.0,-10.58,11.58
0.631,1.0,-10.59,11.59
0.634,1.0,-10.61,11.61
0.637,1.0,-10.61,11.61
0.64,1.0,-10.59,11.59
0.643,1.0,0.0,1.0
0.645,1.0,-10.59,11.59
0.648,1.0,-10.6,11.6
0.651,1.0,-10.59,11.59
0.654,1.0,-10.61,11.61
0.657,1.0,-10.61,11.61
0.66,1.0,-10.6,11.6
0.663,1.0,-10.6,11.6
0.666,1.0,-10.62,11.62
0.669,1.0,-10.61,11.61
0.673,1.0,-10.56,11.56
0.676,1.0,-10.58,11.58
0.679,1.0,-10.62,11.62
0.682,1.0,-10.6,11.6
0.685,1.0,-10.6,11.6
0.688,1.0,-10.63,11.63
0.691,1.0,-10.62,11.62
0.694,1.0,-10.6,11.6
0.697,1.0,-10.6,11.6
0.7,1.0,-10.61,11.61
0.703,1.0,-10.63,11.63
0.706,1.0,-10.62,11.62
0.709,1.0,-10.57,11.57
0.712,1.0,-10.57,11.57
0.715,1.0,-10.57,11.57
0.718,1.0,-10.6,11.6
0.721,1.0,-10.61,11.61
0.724,1.0,0.0,1.0
0.727,1.0,-10.62,11.62
0.73,1.0,-10.59,11.59
0.733,1.0,-10.56,11.56
0.736,1.0,-10.57,11.57
0.739,1.0,-10.58,11.58
0.742,1.0,-10.61,11.61
0.745,1.0,-10.62,11.62
0.748,1.0,-10.61,11.61
0.751,1.0,-10.59,11.59
0.754,1.0,-10.57,11.57
0.757,1.0,-10.58,11.58
0.76,1.0,-10.58,11.58
0.763,1.0,-10.56,11.56
0.766,1.0,-10.58,11.58
0.769,1.0,-10.6,11.6
