Time_sec,Reference_Force_N,Actual_Force_N,Error_N
0.0,3.0,0.7,2.3
0.0,3.0,0.69,2.31
0.003,3.0,0.67,2.33
0.007,3.0,0.71,2.29
0.011,3.0,0.7,2.3
0.015,3.0,0.71,2.29
0.019,3.0,0.74,2.26
0.023,3.0,0.72,2.2800000000000002
0.027,3.0,0.73,2.27
0.031,3.0,0.72,2.2800000000000002
0.035,3.0,0.7,2.3
0.039,3.0,0.71,2.29
0.043,3.0,0.68,2.32
0.047,3.0,0.7,2.3
0.051,3.0,0.7,2.3
0.055,3.0,0.67,2.33
0.059,3.0,0.7,2.3
0.063,3.0,0.69,2.31
0.067,3.0,0.7,2.3
0.071,3.0,0.66,2.34
0.075,3.0,0.67,2.33
0.079,3.0,0.69,2.31
0.083,3.0,0.68,2.32
0.087,3.0,0.67,2.33
0.091,3.0,0.69,2.31
0.095,3.0,0.72,2.2800000000000002
0.099,3.0,0.7,2.3
0.103,3.0,0.67,2.33
0.107,3.0,0.69,2.31
0.111,3.0,0.7,2.3
0.115,3.0,0.68,2.32
0.119,3.0,0.67,2.33
0.123,3.0,0.68,2.32
0.127,3.0,0.7,2.3
0.131,3.0,0.72,2.2800000000000002
0.134,3.0,0.72,2.2800000000000002
0.138,3.0,0.7,2.3
0.142,3.0,0.68,2.32
0.146,3.0,0.73,2.27
0.15,3.0,0.72,2.2800000000000002
0.154,3.0,0.72,2.2800000000000002
0.158,3.0,0.67,2.33
0.162,3.0,0.65,2.35
0.166,3.0,0.67,2.33
0.17,3.0,0.68,2.32
0.174,3.0,0.7,2.3
0.178,3.0,0.68,2.32
0.182,3.0,0.7,2.3
0.186,3.0,0.71,2.29
0.19,3.0,0.65,2.35
0.194,3.0,0.67,2.33
0.198,3.0,0.7,2.3
0.202,3.0,0.71,2.29
0.206,3.0,0.7,2.3
0.21,3.0,0.7,2.3
0.214,3.0,0.69,2.31
0.218,3.0,0.68,2.32
0.222,3.0,0.67,2.33
0.226,3.0,0.71,2.29
0.23,3.0,0.73,2.27
0.233,3.0,0.72,2.2800000000000002
0.237,3.0,0.7,2.3
0.241,3.0,0.68,2.32
0.244,3.0,0.69,2.31
0.248,3.0,0.69,2.31
0.252,3.0,0.69,2.31
0.256,3.0,0.72,2.2800000000000002
0.26,3.0,0.72,2.2800000000000002
0.263,3.0,0.69,2.31
0.267,3.0,0.67,2.33
0.271,3.0,0.69,2.31
0.274,3.0,0.0,3.0
0.278,3.0,0.69,2.31
0.282,3.0,0.7,2.3
0.286,3.0,0.71,2.29
0.29,3.0,0.67,2.33
0.294,3.0,0.65,2.35
0.298,3.0,0.67,2.33
0.302,3.0,0.7,2.3
0.306,3.0,0.67,2.33
0.31,3.0,0.7,2.3
0.314,3.0,0.72,2.2800000000000002
0.318,3.0,0.69,2.31
0.322,3.0,0.7,2.3
0.326,3.0,0.69,2.31
0.33,3.0,0.67,2.33
0.334,3.0,0.67,2.33
0.338,3.0,0.69,2.31
0.342,3.0,0.69,2.31
0.346,3.0,0.69,2.31
0.35,3.0,0.67,2.33
0.354,3.0,0.67,2.33
0.358,3.0,0.67,2.33
0.362,3.0,0.7,2.3
0.366,3.0,0.71,2.29
0.37,3.0,0.71,2.29
0.374,3.0,0.7,2.3
0.378,3.0,0.71,2.29
0.382,3.0,0.7,2.3
0.385,3.0,0.71,2.29
0.389,3.0,0.68,2.32
0.393,3.0,0.67,2.33
0.397,3.0,0.68,2.32
0.401,3.0,0.7,2.3
0.405,3.0,0.71,2.29
0.409,3.0,0.69,2.31
0.413,3.0,0.67,2.33
0.417,3.0,0.69,2.31
0.421,3.0,0.7,2.3
0.425,3.0,0.69,2.31
0.429,3.0,0.68,2.32
0.433,3.0,0.7,2.3
0.437,3.0,0.7,2.3
0.441,3.0,0.71,2.29
0.445,3.0,0.72,2.2800000000000002
0.449,3.0,0.73,2.27
0.453,3.0,0.69,2.31
0.457,3.0,0.7,2.3
0.461,3.0,0.7,2.3
0.464,3.0,0.71,2.29
0.468,3.0,0.71,2.29
0.472,3.0,0.66,2.34
0.475,3.0,0.71,2.29
0.479,3.0,0.71,2.29
0.483,3.0,0.71,2.29
0.487,1.0,0.69,0.31000000000000005
0.491,1.0,0.66,0.33999999999999997
0.495,1.0,0.68,0.31999999999999995
0.499,1.0,0.67,0.32999999999999996
0.503,1.0,0.67,0.32999999999999996
0.507,1.0,0.71,0.29000000000000004
0.511,1.0,0.71,0.29000000000000004
0.515,1.0,0.69,0.31000000000000005
0.519,1.0,0.7,0.30000000000000004
0.523,1.0,0.72,0.28
0.527,1.0,0.7,0.30000000000000004
0.531,1.0,0.7,0.30000000000000004
0.535,1.0,0.7,0.30000000000000004
0.539,1.0,0.71,0.29000000000000004
0.543,1.0,0.71,0.29000000000000004
0.547,1.0,0.7,0.30000000000000004
0.551,1.0,0.7,0.30000000000000004
0.555,1.0,0.68,0.31999999999999995
0.559,1.0,0.69,0.31000000000000005
0.563,1.0,0.69,0.31000000000000005
0.567,1.0,0.67,0.32999999999999996
0.571,1.0,0.69,0.31000000000000005
0.574,1.0,0.68,0.31999999999999995
0.578,1.0,0.7,0.30000000000000004
0.582,1.0,0.69,0.31000000000000005
0.585,1.0,0.7,0.30000000000000004
0.589,1.0,0.69,0.31000000000000005
0.593,1.0,0.7,0.30000000000000004
0.597,1.0,0.7,0.30000000000000004
0.601,1.0,0.68,0.31999999999999995
0.605,1.0,0.68,0.31999999999999995
0.609,1.0,0.66,0.33999999999999997
0.613,1.0,0.72,0.28
0.617,1.0,0.68,0.31999999999999995
0.621,1.0,0.65,0.35
0.625,1.0,0.67,0.32999999999999996
0.629,1.0,0.71,0.29000000000000004
0.633,1.0,0.7,0.30000000000000004
0.637,1.0,0.7,0.30000000000000004
0.641,1.0,0.69,0.31000000000000005
0.645,1.0,0.67,0.32999999999999996
0.649,1.0,0.67,0.32999999999999996
0.653,1.0,0.68,0.31999999999999995
0.657,1.0,0.71,0.29000000000000004
0.661,1.0,0.71,0.29000000000000004
0.664,1.0,0.72,0.28
0.668,1.0,0.68,0.31999999999999995
0.672,1.0,0.69,0.31000000000000005
0.677,1.0,0.68,0.31999999999999995
0.68,1.0,0.67,0.32999999999999996
0.684,1.0,0.68,0.31999999999999995
0.688,1.0,0.69,0.31000000000000005
0.692,1.0,0.71,0.29000000000000004
0.695,1.0,0.7,0.30000000000000004
0.699,1.0,0.71,0.29000000000000004
0.703,1.0,0.67,0.32999999999999996
0.707,1.0,0.68,0.31999999999999995
0.711,1.0,0.68,0.31999999999999995
0.715,1.0,0.7,0.30000000000000004
0.719,1.0,0.7,0.30000000000000004
0.723,1.0,0.69,0.31000000000000005
0.727,1.0,0.7,0.30000000000000004
0.731,1.0,0.69,0.31000000000000005
0.735,1.0,0.7,0.30000000000000004
0.739,1.0,0.67,0.32999999999999996
0.743,1.0,0.67,0.32999999999999996
0.747,1.0,0.67,0.32999999999999996
0.751,1.0,0.69,0.31000000000000005
0.755,1.0,0.7,0.30000000000000004
0.759,1.0,0.69,0.31000000000000005
0.763,1.0,0.68,0.31999999999999995
0.767,1.0,0.7,0.30000000000000004
0.771,1.0,0.69,0.31000000000000005
0.775,1.0,0.7,0.30000000000000004
0.779,1.0,0.71,0.29000000000000004
0.783,1.0,0.69,0.31000000000000005
0.787,1.0,0.67,0.32999999999999996
0.791,1.0,0.7,0.30000000000000004
0.794,1.0,0.75,0.25
0.798,1.0,0.7,0.30000000000000004
0.802,1.0,0.68,0.31999999999999995
0.805,1.0,0.68,0.31999999999999995
0.809,1.0,0.7,0.30000000000000004
0.813,1.0,0.69,0.31000000000000005
0.817,1.0,0.72,0.28
0.821,1.0,0.73,0.27
0.825,1.0,0.73,0.27
0.829,1.0,0.68,0.31999999999999995
0.833,1.0,0.69,0.31000000000000005
0.837,1.0,0.69,0.31000000000000005
0.841,1.0,0.69,0.31000000000000005
0.845,1.0,0.69,0.31000000000000005
0.849,1.0,0.69,0.31000000000000005
0.853,1.0,0.69,0.31000000000000005
0.857,1.0,0.67,0.32999999999999996
0.861,1.0,0.73,0.27
0.864,1.0,0.71,0.29000000000000004
0.868,1.0,0.69,0.31000000000000005
0.872,1.0,0.7,0.30000000000000004
0.875,1.0,0.7,0.30000000000000004
0.879,1.0,0.7,0.30000000000000004
0.883,1.0,0.7,0.30000000000000004
0.887,1.0,0.71,0.29000000000000004
0.891,1.0,0.72,0.28
0.895,1.0,0.73,0.27
0.899,1.0,0.68,0.31999999999999995
0.903,1.0,0.68,0.31999999999999995
0.907,1.0,0.72,0.28
0.911,1.0,0.71,0.29000000000000004
0.915,1.0,0.71,0.29000000000000004
0.919,1.0,0.69,0.31000000000000005
0.923,1.0,0.71,0.29000000000000004
0.926,1.0,0.7,0.30000000000000004
0.93,1.0,0.7,0.30000000000000004
0.934,1.0,0.7,0.30000000000000004
0.938,1.0,0.72,0.28
0.942,1.0,0.73,0.27
0.946,1.0,0.72,0.28
0.95,1.0,0.71,0.29000000000000004
0.954,1.0,0.69,0.31000000000000005
0.958,1.0,0.7,0.30000000000000004
0.962,1.0,0.72,0.28
0.965,1.0,0.74,0.26
0.969,1.0,0.71,0.29000000000000004
0.973,1.0,0.71,0.29000000000000004
0.976,1.0,0.74,0.26
0.98,1.0,0.72,0.28
0.984,1.0,0.68,0.31999999999999995
0.988,1.0,0.66,0.33999999999999997
0.992,1.0,0.68,0.31999999999999995
0.996,1.0,0.68,0.31999999999999995
1.0,1.0,0.72,0.28
1.004,1.0,0.71,0.29000000000000004
1.008,1.0,0.72,0.28
1.012,1.0,0.72,0.28
1.016,1.0,0.72,0.28
1.02,1.0,0.7,0.30000000000000004
1.024,1.0,0.67,0.32999999999999996
1.028,1.0,0.69,0.31000000000000005
1.032,1.0,0.7,0.30000000000000004
1.036,1.0,0.68,0.31999999999999995
1.04,1.0,0.71,0.29000000000000004
1.044,1.0,0.69,0.31000000000000005
1.047,1.0,0.72,0.28
1.051,1.0,0.7,0.30000000000000004
1.055,1.0,0.67,0.32999999999999996
1.059,1.0,0.7,0.30000000000000004
1.063,1.0,0.7,0.30000000000000004
1.067,1.0,0.69,0.31000000000000005
1.071,1.0,0.72,0.28
1.075,1.0,0.7,0.30000000000000004
1.079,1.0,0.69,0.31000000000000005
1.083,1.0,0.73,0.27
1.087,1.0,0.68,0.31999999999999995
1.091,1.0,0.73,0.27
1.095,1.0,0.74,0.26
1.099,1.0,0.71,0.29000000000000004
1.103,1.0,0.71,0.29000000000000004
1.107,1.0,0.72,0.28
1.111,1.0,0.71,0.29000000000000004
1.115,1.0,0.7,0.30000000000000004
1.119,1.0,0.68,0.31999999999999995
1.123,1.0,0.71,0.29000000000000004
1.127,1.0,0.71,0.29000000000000004
1.131,1.0,0.7,0.30000000000000004
1.135,1.0,0.74,0.26
