Time_sec,Reference_Force_N,Actual_Force_N,Error_N
0.0,3.0,-6.29,9.29
0.0,3.0,-6.29,9.29
0.003,3.0,-6.28,9.280000000000001
0.006,3.0,-6.27,9.27
0.009,3.0,-6.24,9.24
0.012,3.0,-6.16,9.16
0.015,1.0,-6.12,7.12
0.018,1.0,-6.09,7.09
0.021,1.0,-6.02,7.02
0.024,1.0,-5.98,6.98
0.027,1.0,-5.99,6.99
0.03,1.0,-6.0,7.0
0.033,1.0,-5.97,6.97
0.036,1.0,-5.98,6.98
0.039,1.0,-6.01,7.01
0.042,1.0,-5.99,6.99
0.045,1.0,-6.0,7.0
0.048,1.0,-6.0,7.0
0.051,1.0,-6.0,7.0
0.054,1.0,-5.97,6.97
0.057,1.0,-5.98,6.98
0.06,1.0,-6.0,7.0
0.063,1.0,0.0,1.0
0.066,1.0,-6.0,7.0
0.069,1.0,-5.96,6.96
0.072,1.0,-5.98,6.98
0.075,1.0,-6.01,7.01
0.078,1.0,-6.01,7.01
0.081,1.0,-6.01,7.01
0.084,1.0,-6.0,7.0
0.087,1.0,-5.99,6.99
0.09,1.0,-5.99,6.99
0.093,1.0,-5.99,6.99
0.096,1.0,-5.99,6.99
0.099,1.0,-6.0,7.0
0.102,1.0,-6.0,7.0
0.105,1.0,-5.99,6.99
0.108,1.0,-6.0,7.0
0.112,1.0,-6.03,7.03
0.115,1.0,-6.03,7.03
0.118,1.0,-5.97,6.97
0.121,1.0,-5.99,6.99
0.124,1.0,-6.01,7.01
0.127,1.0,-6.0,7.0
0.13,1.0,-6.02,7.02
0.133,1.0,-5.99,6.99
0.136,1.0,-6.01,7.01
0.139,1.0,-6.03,7.03
0.142,1.0,-6.02,7.02
0.145,1.0,0.0,1.0
0.147,1.0,-6.0,7.0
0.15,1.0,-5.99,6.99
0.154,1.0,-6.03,7.03
0.157,1.0,-6.05,7.05
0.16,1.0,-6.02,7.02
0.163,1.0,-5.99,6.99
0.166,1.0,-6.0,7.0
0.169,1.0,-6.03,7.03
0.172,1.0,-6.02,7.02
0.175,1.0,-6.04,7.04
0.178,1.0,-6.05,7.05
0.181,1.0,-6.02,7.02
0.184,1.0,-5.97,6.97
0.187,1.0,-5.99,6.99
0.19,1.0,-6.04,7.04
0.193,1.0,-6.05,7.05
0.196,1.0,-6.02,7.02
0.199,1.0,-6.01,7.01
0.202,1.0,-6.01,7.01
0.205,1.0,-6.03,7.03
0.208,1.0,-6.03,7.03
0.211,1.0,-6.0,7.0
0.214,1.0,-6.0,7.0
0.217,1.0,-6.02,7.02
0.22,1.0,-6.02,7.02
0.223,1.0,-6.02,7.02
0.227,1.0,0.0,1.0
0.229,1.0,-6.03,7.03
0.232,1.0,-6.05,7.05
0.235,1.0,-6.05,7.05
0.238,1.0,-6.02,7.02
0.241,1.0,-6.02,7.02
0.244,1.0,-6.05,7.05
0.247,1.0,-6.03,7.03
0.25,1.0,-5.99,6.99
0.253,1.0,-6.0,7.0
0.256,1.0,-6.03,7.03
0.259,1.0,-6.0,7.0
0.262,1.0,-5.99,6.99
0.265,1.0,-6.0,7.0
0.269,1.0,-6.03,7.03
0.272,1.0,-6.05,7.05
0.275,1.0,-6.05,7.05
0.278,1.0,-6.03,7.03
0.281,1.0,-6.01,7.01
0.284,1.0,-6.01,7.01
0.287,1.0,-6.05,7.05
0.29,1.0,-6.05,7.05
0.293,1.0,-6.03,7.03
0.296,1.0,-5.99,6.99
0.299,1.0,-6.02,7.02
0.302,1.0,-6.02,7.02
0.305,1.0,-6.02,7.02
0.308,1.0,0.0,1.0
0.311,1.0,-6.02,7.02
0.314,1.0,-6.02,7.02
0.317,1.0,-6.04,7.04
0.32,1.0,-6.06,7.06
0.323,1.0,-6.02,7.02
0.326,1.0,-6.02,7.02
0.329,1.0,-6.02,7.02
0.332,1.0,-5.99,6.99
0.335,1.0,-6.01,7.01
0.338,1.0,-6.02,7.02
0.341,1.0,-6.02,7.02
0.344,1.0,-6.03,7.03
0.347,1.0,-6.04,7.04
0.35,1.0,-6.05,7.05
0.353,1.0,-6.04,7.04
0.356,1.0,-6.04,7.04
0.359,1.0,-6.03,7.03
0.362,1.0,-6.03,7.03
0.365,1.0,-6.02,7.02
0.368,1.0,-6.0,7.0
0.371,1.0,-6.01,7.01
0.374,1.0,-6.03,7.03
0.377,1.0,-6.04,7.04
0.38,1.0,-6.03,7.03
0.384,1.0,-6.05,7.05
0.387,1.0,-6.02,7.02
0.39,1.0,0.0,1.0
0.392,1.0,-6.01,7.01
0.395,1.0,-6.02,7.02
0.398,1.0,-6.02,7.02
0.401,1.0,-6.04,7.04
0.404,1.0,-6.02,7.02
0.407,1.0,-6.01,7.01
0.41,1.0,-6.03,7.03
0.413,1.0,-6.02,7.02
0.416,1.0,-6.03,7.03
0.419,1.0,-6.02,7.02
0.422,1.0,-6.02,7.02
0.426,1.0,-6.03,7.03
