Time_sec,Reference_Force_N,Actual_Force_N,Error_N
0.0,1.0,-60.67,61.67
0.0,1.0,-60.66,61.66
0.003,1.0,-60.6,61.6
0.007,1.0,-60.32,61.32
0.01,1.0,-60.11,61.11
0.013,1.0,-60.06,61.06
0.016,1.0,-60.04,61.04
0.019,1.0,-60.01,61.01
0.022,1.0,-60.02,61.02
0.025,1.0,-60.07,61.07
0.028,1.0,-60.05,61.05
0.031,1.0,-60.15,61.15
0.034,1.0,-60.37,61.37
0.037,1.0,-60.22,61.22
0.04,1.0,0.0,1.0
0.042,1.0,-60.05,61.05
0.045,1.0,-60.06,61.06
0.049,1.0,-60.08,61.08
0.052,1.0,-60.06,61.06
0.055,1.0,-60.07,61.07
0.058,1.0,-60.07,61.07
0.061,1.0,-60.08,61.08
0.064,1.0,-60.1,61.1
0.067,1.0,-60.05,61.05
0.07,1.0,-60.07,61.07
0.073,1.0,-60.04,61.04
0.076,1.0,-60.01,61.01
0.079,1.0,-60.1,61.1
0.082,1.0,-60.19,61.19
0.085,1.0,-60.05,61.05
0.088,1.0,-60.03,61.03
0.091,1.0,-60.07,61.07
0.094,1.0,-60.01,61.01
0.097,1.0,-60.03,61.03
0.1,1.0,-60.13,61.13
0.103,1.0,-60.3,61.3
0.106,1.0,-60.38,61.38
0.109,1.0,-60.25,61.25
0.112,1.0,-60.06,61.06
0.115,1.0,-59.94,60.94
0.118,1.0,-59.92,60.92
0.122,1.0,0.0,1.0
0.124,1.0,-59.97,60.97
0.127,1.0,-59.93,60.93
0.13,1.0,-59.91,60.91
0.133,1.0,-60.01,61.01
0.136,1.0,-60.07,61.07
0.139,1.0,-59.93,60.93
0.142,1.0,-59.96,60.96
0.145,1.0,-60.0,61.0
0.148,1.0,-59.89,60.89
0.151,1.0,-59.9,60.9
0.154,1.0,-60.05,61.05
0.157,1.0,-60.01,61.01
0.16,1.0,-59.84,60.84
0.164,1.0,-59.91,60.91
0.167,1.0,-59.94,60.94
0.17,1.0,-60.01,61.01
0.173,1.0,-59.97,60.97
0.176,1.0,-59.83,60.83
0.179,1.0,-59.86,60.86
0.182,1.0,-59.85,60.85
0.185,1.0,-59.79,60.79
0.188,1.0,-59.79,60.79
0.191,1.0,-59.95,60.95
0.194,1.0,-60.01,61.01
0.197,1.0,-59.85,60.85
0.2,1.0,-59.86,60.86
0.203,1.0,0.0,1.0
0.206,1.0,-59.86,60.86
0.209,1.0,-59.93,60.93
0.212,1.0,-59.92,60.92
0.215,1.0,-59.82,60.82
0.218,1.0,-59.82,60.82
0.221,1.0,-59.85,60.85
0.224,1.0,-59.9,60.9
0.227,1.0,-59.88,60.88
0.23,1.0,-59.75,60.75
0.233,1.0,-59.78,60.78
0.236,1.0,-59.79,60.79
0.239,1.0,-59.79,60.79
0.242,1.0,-59.96,60.96
0.245,1.0,-59.88,60.88
0.248,1.0,-59.74,60.74
0.251,1.0,-59.77,60.77
0.254,1.0,-59.81,60.81
0.257,1.0,-59.82,60.82
0.26,1.0,-59.77,60.77
0.263,1.0,-59.74,60.74
0.266,1.0,-59.77,60.77
0.269,1.0,-59.73,60.73
0.272,1.0,-59.82,60.82
0.275,1.0,-59.89,60.89
0.279,1.0,-59.72,60.72
0.282,1.0,-59.69,60.69
0.285,1.0,0.0,1.0
0.287,1.0,-59.66,60.66
0.29,1.0,-59.68,60.68
0.293,1.0,-59.74,60.74
0.296,1.0,-59.85,60.85
0.299,1.0,-59.76,60.76
0.302,1.0,-59.7,60.7
0.305,1.0,-59.64,60.64
0.308,1.0,-59.67,60.67
0.311,1.0,-59.66,60.66
0.314,1.0,-59.65,60.65
0.317,1.0,-59.65,60.65
0.321,1.0,-59.69,60.69
0.324,1.0,-59.83,60.83
0.327,1.0,-59.66,60.66
0.33,1.0,-59.6,60.6
0.333,1.0,-59.69,60.69
0.336,1.0,-59.69,60.69
0.339,1.0,-59.61,60.61
0.342,1.0,-59.74,60.74
0.345,1.0,-59.9,60.9
0.348,1.0,-59.81,60.81
0.351,1.0,-59.66,60.66
0.354,1.0,-59.61,60.61
0.357,1.0,-59.67,60.67
0.36,1.0,-59.76,60.76
0.363,1.0,-59.84,60.84
0.366,1.0,0.0,1.0
0.369,1.0,-59.86,60.86
0.372,1.0,-59.79,60.79
0.375,1.0,-59.76,60.76
0.378,1.0,-59.81,60.81
0.381,1.0,-59.78,60.78
0.384,1.0,-59.76,60.76
0.387,1.0,-59.77,60.77
0.39,1.0,-59.73,60.73
0.393,1.0,-59.77,60.77
0.396,1.0,-59.79,60.79
0.399,1.0,-59.76,60.76
0.402,1.0,-59.78,60.78
0.405,1.0,-59.76,60.76
0.408,1.0,-59.75,60.75
0.411,1.0,-59.79,60.79
0.414,1.0,-59.79,60.79
0.417,1.0,-59.77,60.77
0.42,1.0,-59.78,60.78
0.423,1.0,-59.77,60.77
0.426,1.0,-59.79,60.79
0.429,1.0,-59.81,60.81
0.432,1.0,-59.8,60.8
0.435,1.0,-59.74,60.74
0.439,1.0,-59.74,60.74
0.442,1.0,-59.8,60.8
0.445,1.0,-59.79,60.79
0.448,1.0,0.0,1.0
0.45,1.0,-59.8,60.8
0.453,1.0,-59.75,60.75
0.456,1.0,-59.72,60.72
0.459,1.0,-59.74,60.74
0.462,1.0,-59.77,60.77
0.465,1.0,-59.79,60.79
0.468,1.0,-59.8,60.8
0.471,1.0,-59.75,60.75
0.474,1.0,-59.77,60.77
0.477,1.0,-59.81,60.81
0.481,1.0,-59.78,60.78
0.484,1.0,-59.72,60.72
0.487,1.0,-59.77,60.77
0.49,1.0,-59.77,60.77
0.493,1.0,-59.76,60.76
0.496,1.0,-59.82,60.82
0.499,1.0,-59.81,60.81
0.502,1.0,-59.77,60.77
0.505,1.0,-59.79,60.79
0.508,1.0,-59.78,60.78
0.511,1.0,-59.75,60.75
0.514,1.0,-59.78,60.78
0.517,1.0,-59.77,60.77
0.52,1.0,-59.83,60.83
0.523,1.0,-59.85,60.85
0.526,1.0,-59.82,60.82
0.529,1.0,0.0,1.0
0.532,1.0,-59.79,60.79
0.535,1.0,-59.78,60.78
0.538,1.0,-59.77,60.77
0.541,1.0,-59.81,60.81
0.544,1.0,-59.78,60.78
0.547,1.0,-59.8,60.8
0.55,1.0,-59.79,60.79
0.553,1.0,-59.75,60.75
0.556,1.0,-59.79,60.79
0.559,1.0,-59.76,60.76
0.562,1.0,-59.77,60.77
0.565,1.0,-59.79,60.79
0.568,1.0,-59.8,60.8
0.571,1.0,-59.81,60.81
0.574,1.0,-59.78,60.78
0.577,1.0,-59.78,60.78
0.58,1.0,-59.75,60.75
0.583,1.0,-59.78,60.78
0.586,1.0,-59.79,60.79
0.589,1.0,-59.8,60.8
0.592,1.0,-59.77,60.77
0.596,1.0,-59.79,60.79
0.599,1.0,-59.77,60.77
0.602,1.0,-59.75,60.75
0.605,1.0,-59.79,60.79
0.608,1.0,-59.78,60.78
0.611,1.0,0.0,1.0
0.613,1.0,-59.79,60.79
0.616,1.0,-59.86,60.86
0.619,1.0,-59.87,60.87
0.622,1.0,-59.78,60.78
0.625,1.0,-59.77,60.77
0.628,1.0,-59.79,60.79
0.631,1.0,-59.76,60.76
0.634,1.0,-59.77,60.77
0.638,1.0,-59.74,60.74
0.641,1.0,-59.74,60.74
0.644,1.0,-59.78,60.78
0.647,1.0,-59.74,60.74
