Timestamp (ms),Encoder1,Encoder2,Loadcell
1747001156749,63.79,199.17,92.036
1747001156848,63.79,199.17,91.772
1747001156948,63.79,199.15,91.583
1747001157048,63.83,199.19,91.753
1747001157149,63.75,199.17,91.631
1747001157248,63.81,199.19,91.395
1747001157348,63.79,199.17,91.508
1747001157448,63.83,199.19,91.433
1747001157549,63.81,199.17,91.499
1747001157649,63.79,199.19,91.433
1747001157749,63.79,199.19,91.555
1747001157849,63.81,199.19,91.48
1747001157949,63.86,199.17,91.499
1747001158049,63.83,199.19,91.367
1747001158149,63.75,199.17,91.385
1747001158249,63.81,199.19,91.329
1747001158349,63.79,199.19,90.971
1747001158449,63.81,199.17,91.018
1747001158549,63.81,199.19,91.244
1747001158649,63.79,199.17,91.027
1747001158749,63.77,199.19,90.801
1747001158849,63.81,199.19,90.952
1747001158949,63.61,199.19,90.99
1747001159049,63.77,199.19,90.82
1747001159149,63.81,199.19,90.679
1747001159249,63.94,199.17,90.66
1747001159349,63.77,199.17,90.49
1747001159449,63.81,199.15,90.716
1747001159549,63.81,199.17,90.716
1747001159649,63.81,199.17,90.528
1747001159749,63.79,199.19,90.603
1747001159849,63.77,199.19,90.471
1747001159949,63.79,199.19,90.471
1747001160049,64.01,199.19,90.481
1747001160149,63.81,199.17,90.33
1747001160249,63.83,199.17,90.32
1747001160349,63.77,199.17,90.424
1747001160449,63.79,199.17,90.462
1747001160549,63.79,199.17,90.349
1747001160649,63.81,199.15,90.283
1747001160749,63.77,199.19,90.33
1747001160849,63.81,199.22,90.123
1747001160949,63.81,199.17,90.085
1747001161049,63.79,199.19,89.972
1747001161149,63.79,199.19,89.896
1747001161249,63.64,199.15,89.925
1747001161349,63.81,199.22,89.925
1747001161450,63.79,199.17,89.887
1747001161550,63.81,199.22,89.915
1747001161650,63.75,199.19,89.84
1747001161750,63.81,199.19,89.943
1747001161850,63.75,199.19,90.057
1747001161950,63.81,199.19,90.028
1747001162050,63.81,199.19,89.981
1747001162150,63.81,199.19,90.047
1747001162250,63.99,199.17,90.019
1747001162350,63.9,199.17,90.085
1747001162450,63.88,199.19,89.802
1747001162550,63.66,199.17,89.68
1747001162650,63.79,199.19,89.548
1747001162750,63.81,199.19,89.529
1747001162850,63.79,199.19,89.557
1747001162950,63.81,199.19,89.614
1747001163050,63.79,199.19,89.614
1747001163150,63.77,199.15,91.489
1747001163250,63.86,199.13,97.172
1747001163350,63.81,199.15,106.428
1747001163450,63.81,199.13,116.315
1747001163550,63.81,199.13,126.927
1747001163650,63.81,199.15,132.262
1747001163750,63.75,199.11,134.722
1747001163850,63.77,199.13,134.976
1747001163950,63.79,199.13,135.721
1747001164050,63.77,199.15,135.335
1747001164150,63.81,199.15,134.27
1747001164250,63.81,199.15,132.677
1747001164350,63.81,199.15,133.025
1747001164450,63.79,199.13,133.77
1747001164550,63.7,199.13,134.524
1747001164650,63.79,199.17,134.901
1747001164750,63.81,199.3,135.118
1747001164850,63.83,199.13,134.364
1747001164950,63.79,198.47,134.025
1747001165050,63.81,197.77,132.677
1747001165151,63.81,197.24,131.555
1747001165250,63.86,195.59,131.442
1747001165350,63.81,194.91,132.092
1747001165451,63.88,194.34,133.365
1747001165551,63.9,192.27,134.458
1747001165651,63.9,188.87,135.184
1747001165751,63.97,186.34,135.74
1747001165851,63.92,184.14,137.568
1747001165951,63.94,181.26,139.039
1747001166051,63.97,178.23,139.689
1747001166151,63.94,175.29,139.991
1747001166251,63.99,172.19,141.706
1747001166351,64.03,169.22,141.762
1747001166451,64.1,165.93,141.734
1747001166551,64.12,161.18,141.451
1747001166651,64.16,154.52,142.366
1747001166751,64.14,150.3,144.581
1747001166851,64.23,145.97,144.807
1747001166951,64.36,143.58,143.195
1747001167051,64.25,141.4,143.186
1747001167151,64.32,135.23,142.762
1747001167251,64.3,132.99,141.847
1747001167351,64.32,131.87,142.799
1747001167451,64.34,130.04,144.204
1747001167551,64.34,129.65,144.995
1747001167651,64.34,129.51,146.39
1747001167751,64.3,129.71,146.569
1747001167851,64.34,131.32,145.938
1747001167951,64.34,131.8,145.542
1747001168051,64.36,131.82,144.741
1747001168151,64.36,131.84,142.337
1747001168251,64.43,131.84,141.338
1747001168351,64.36,131.84,141.206
1747001168451,64.36,131.82,140.895
1747001168551,64.36,131.82,140.349
1747001168651,64.38,131.84,139.906
1747001168751,64.34,131.71,140.217
1747001168851,64.41,130.06,140.509
1747001168951,64.1,126.79,140.735
1747001169051,64.54,123.76,140.198
1747001169151,64.52,120.77,141.772
1747001169251,64.76,116.55,143.054
1747001169351,64.67,112.64,144.326
1747001169451,64.67,109.61,145.08
1747001169551,64.63,106.0,145.401
1747001169652,64.67,102.57,145.91
1747001169752,64.67,99.94,146.701
1747001169852,64.71,95.87,146.871
1747001169952,64.74,92.07,148.115
1747001170052,64.74,88.01,149.312
1747001170152,64.85,82.73,150.009
1747001170252,64.89,77.39,150.848
1747001170352,64.85,73.22,151.216
1747001170452,64.98,70.18,152.111
1747001170552,65.02,67.17,152.498
1747001170652,65.02,64.34,152.535
1747001170752,65.0,63.11,152.498
1747001170852,65.04,63.79,152.545
1747001170952,65.07,63.75,151.932
1747001171052,65.07,63.77,149.416
1747001171152,65.09,63.77,146.852
1747001171252,65.07,63.81,147.37
1747001171352,65.04,63.79,148.172
1747001171452,65.04,63.64,148.464
1747001171552,65.07,63.26,149.953
1747001171652,65.11,59.95,148.501
1747001171752,65.22,55.22,145.457
1747001171852,65.22,51.29,146.975
1747001171952,65.24,48.69,150.198
1747001172052,65.26,46.28,151.112
1747001172152,65.28,43.29,151.131
1747001172252,65.37,38.37,151.517
1747001172352,65.37,32.79,152.394
1747001172452,65.42,28.87,152.95
1747001172552,65.44,24.48,153.902
1747001172652,65.46,21.16,154.769
1747001172752,65.5,17.65,156.353
1747001172852,65.53,14.24,156.975
1747001172952,65.57,8.33,156.673
1747001173052,65.64,1.76,157.286
1747001173152,65.64,358.66,159.934
1747001173252,65.68,357.08,161.367
1747001173352,65.75,354.95,161.574
1747001173452,65.77,352.09,161.828
1747001173552,65.75,350.66,163.648
1747001173652,65.79,350.55,164.543
1747001173752,65.88,351.1,164.402
1747001173852,65.79,353.65,164.713
1747001173952,65.81,354.29,163.798
1747001174053,65.77,354.24,160.641
1747001174153,65.79,354.24,156.899
1747001174253,65.75,354.29,154.967
1747001174353,65.79,354.26,154.599
1747001174453,64.56,354.26,154.779
1747001174553,65.75,354.24,154.383
1747001174653,65.72,353.8,155.146
1747001174753,65.83,352.66,156.136
1747001174853,65.86,352.16,156.626
1747001174953,65.86,349.03,157.022
1747001175053,65.94,345.98,156.277
1747001175153,66.01,341.96,156.428
1747001175253,66.12,335.54,158.134
1747001175353,66.19,332.38,159.906
1747001175453,66.23,330.69,163.308
1747001175553,66.32,327.06,166.06
1747001175653,66.34,324.25,166.598
1747001175753,66.43,321.52,167.615
1747001175853,66.49,317.11,169.943
1747001175953,66.56,314.29,172.224
1747001176053,66.56,311.39,174.1
1747001176153,66.76,306.54,174.826
1747001176253,66.78,303.79,175.985
1747001176353,66.84,302.45,177.625
1747001176453,66.84,302.01,179.812
