Timestamp (ms),Encoder1,Encoder2,Loadcell
1747627222348,316.97,48.98,-0.091
1747627222448,316.97,49.02,0.091
1747627222548,316.95,48.98,0.19
1747627222648,316.95,48.98,0.058
1747627222748,316.97,48.98,0.0
1747627222849,317.28,49.02,0.025
1747627222948,319.13,49.0,0.066
1747627223049,319.66,49.02,0.24
1747627223148,326.73,48.69,0.124
1747627223248,336.42,48.34,0.157
1747627223348,347.76,48.01,0.464
1747627223449,1.58,47.66,1.11
1747627223549,13.4,47.33,2.021
1747627223649,13.14,47.42,2.692
1747627223749,13.16,47.35,3.031
1747627223849,13.16,47.4,3.006
1747627223949,13.32,47.42,3.072
1747627224049,14.04,47.4,2.965
1747627224149,16.63,47.33,2.783
1747627224249,21.12,47.2,2.692
1747627224349,23.75,47.13,2.973
1747627224449,24.85,47.11,3.395
1747627224549,27.05,47.05,3.478
1747627224649,30.72,46.94,3.536
1747627224749,31.4,46.94,3.453
1747627224849,32.04,46.87,3.453
1747627224949,32.98,46.94,3.478
1747627225049,39.11,46.76,3.553
1747627225149,40.83,46.69,3.627
1747627225249,45.6,46.58,3.892
1747627225349,48.65,46.5,4.041
1747627225449,50.17,46.45,4.182
1747627225549,52.83,46.41,4.373
1747627225649,54.56,46.3,4.331
1747627225749,54.65,46.34,4.373
1747627225849,57.62,46.3,4.455
1747627225949,64.32,46.15,4.389
1747627226049,69.53,46.04,4.414
1747627226149,69.31,45.27,4.431
1747627226249,69.31,46.01,4.629
1747627226349,69.22,45.97,4.704
1747627226449,69.2,46.04,4.53
1747627226549,69.17,45.99,4.522
1747627226649,69.22,46.1,4.422
1747627226750,69.37,46.04,4.29
1747627226849,70.54,45.99,4.439
1747627226949,77.55,45.84,4.497
1747627227049,83.72,45.71,4.563
1747627227149,83.74,45.73,4.48
1747627227249,83.72,45.71,4.886
1747627227350,82.73,45.71,4.828
1747627227450,82.69,45.62,4.712
1747627227549,82.69,45.68,4.629
1747627227650,82.78,45.68,4.671
1747627227750,83.04,45.73,4.754
1747627227850,83.15,45.71,4.671
1747627227950,83.33,45.71,4.621
1747627228050,84.56,45.71,4.58
1747627228150,85.06,45.66,4.605
1747627228250,87.85,45.66,4.679
