Timestamp (ms),Encoder1,Encoder2,Loadcell
1747627306110,179.68,42.98,0.265
1747627306210,179.7,42.98,0.513
1747627306310,179.7,43.0,0.414
1747627306410,179.73,42.96,0.124
1747627306510,179.7,42.96,0.066
1747627306610,179.73,42.96,0.207
1747627306710,179.7,42.96,0.273
1747627306811,179.75,43.0,0.257
1747627306910,179.73,42.98,0.182
1747627307010,179.73,42.98,0.108
1747627307110,179.73,42.94,0.439
1747627307210,179.7,42.96,0.431
1747627307310,179.73,42.98,0.298
1747627307410,179.7,42.96,0.34
1747627307511,179.75,42.98,0.431
1747627307611,179.68,42.98,0.596
1747627307711,179.68,42.98,0.348
1747627307811,179.7,42.96,0.248
1747627307911,179.66,43.0,0.083
1747627308011,179.75,42.94,0.124
1747627308111,180.34,42.96,0.033
1747627308211,185.09,42.85,0.058
1747627308311,190.49,42.63,0.29
1747627308411,200.42,42.45,0.596
1747627308511,215.7,42.1,1.151
1747627308611,231.72,41.75,1.524
1747627308711,236.07,41.6,2.211
1747627308811,236.26,41.6,2.923
1747627308911,236.29,41.6,3.47
1747627309011,237.69,41.55,3.768
1747627309111,243.45,41.46,3.785
1747627309211,252.9,41.27,3.611
1747627309311,262.52,41.07,3.735
1747627309411,270.21,40.87,3.983
1747627309511,273.53,40.74,4.331
1747627309611,282.39,40.56,4.497
1747627309711,294.98,40.19,4.787
1747627309811,293.64,40.15,5.209
1747627309911,293.59,40.19,5.532
1747627310011,293.57,40.15,5.631
1747627310111,294.87,40.19,5.582
1747627310211,298.01,40.1,5.723
1747627310311,306.08,39.93,5.482
1747627310411,315.24,39.66,5.615
1747627310511,323.04,39.4,5.946
1747627310611,329.85,39.14,6.087
1747627310711,344.16,38.7,6.244
1747627310811,343.32,38.72,6.733
1747627310911,343.41,38.72,7.18
1747627311011,343.41,38.74,7.188
1747627311111,343.39,38.76,7.222
1747627311211,344.11,38.78,7.122
1747627311312,344.73,38.76,7.064
1747627311412,349.91,38.54,7.072
1747627311512,357.63,38.37,7.18
1747627311612,9.78,38.04,7.445
1747627311712,24.28,37.55,7.876
1747627311812,23.64,37.62,8.447
1747627311912,23.71,37.64,8.795
1747627312012,23.71,37.64,8.563
1747627312112,24.33,37.66,8.315
1747627312212,30.76,37.44,8.323
1747627312312,39.38,37.18,8.34
1747627312412,50.19,36.89,8.646
1747627312512,54.67,36.74,9.11
1747627312612,61.07,36.63,9.474
1747627312712,70.91,36.41,9.706
1747627312812,83.19,36.13,9.913
1747627312912,84.97,36.08,10.104
1747627313012,83.22,36.06,10.253
1747627313112,83.22,36.06,10.675
1747627313212,83.19,36.06,10.642
1747627313312,84.49,36.06,10.369
1747627313412,86.14,36.06,10.344
1747627313512,87.43,35.99,10.369
1747627313612,87.9,35.99,10.253
1747627313712,96.86,35.77,10.145
1747627313812,107.72,35.53,10.277
1747627313912,113.14,35.4,10.609
1747627314012,112.88,35.38,10.94
1747627314112,111.19,35.4,11.304
1747627314212,111.12,35.4,11.213
1747627314312,111.12,35.4,11.147
1747627314412,111.98,35.38,10.99
1747627314512,116.42,35.22,10.973
1747627314612,123.71,35.16,10.816
1747627314712,138.0,34.81,10.807
1747627314813,151.8,34.37,11.47
1747627314912,159.69,34.13,11.876
1747627315012,159.4,34.08,12.157
1747627315113,159.4,34.1,12.472
1747627315213,159.47,34.13,12.257
1747627315313,159.95,34.13,12.232
1747627315413,163.11,34.02,12.182
1747627315513,171.16,33.8,12.124
1747627315613,179.44,33.55,12.381
1747627315713,190.73,33.22,12.654
1747627315813,202.51,32.9,13.408
1747627315913,207.74,32.72,13.665
1747627316013,207.04,32.72,13.905
1747627316113,207.04,32.61,13.789
1747627316213,207.02,32.76,13.607
1747627316313,207.52,32.72,13.557
1747627316413,209.68,32.68,13.607
1747627316513,222.75,32.41,13.83
1747627316613,242.09,31.97,13.921
1747627316713,263.75,31.47,13.996
1747627316813,264.37,31.38,14.311
1747627316913,264.24,31.38,14.832
1747627317013,264.22,31.38,15.205
1747627317113,264.46,31.38,15.379
1747627317213,265.58,31.33,15.213
1747627317313,273.07,31.2,14.89
1747627317413,282.45,30.94,14.99
1747627317513,298.69,30.57,15.081
1747627317613,311.96,30.26,15.362
1747627317713,318.89,30.02,15.727
1747627317813,318.58,30.04,16.099
1747627317913,318.54,30.02,16.48
1747627318013,318.56,29.97,16.447
1747627318113,318.97,29.99,16.174
1747627318213,321.72,29.95,16.224
1747627318313,327.24,29.77,16.248
1747627318413,331.83,29.56,16.174
1747627318513,339.85,29.34,16.34
1747627318613,350.62,29.05,16.878
1747627318713,4.61,28.68,17.217
1747627318813,4.18,28.65,17.54
1747627318913,4.2,28.65,17.64
1747627319013,4.26,28.65,17.449
1747627319113,4.86,28.65,17.416
1747627319213,5.87,28.65,17.433
1747627319313,14.28,28.39,17.408
1747627319413,27.23,27.99,17.308
1747627319514,37.49,27.69,17.573
1747627319614,48.04,27.42,17.996
1747627319714,60.98,27.09,18.493
1747627319813,78.34,26.7,18.791
1747627319914,77.68,26.68,19.702
1747627320014,77.68,26.68,19.843
1747627320114,77.77,26.68,19.677
1747627320214,78.95,26.65,19.404
1747627320314,88.27,26.43,19.238
1747627320414,98.05,26.26,19.197
1747627320514,109.52,26.0,19.52
1747627320614,116.9,25.82,19.867
1747627320714,122.64,25.67,20.124
1747627320814,121.98,25.62,20.24
1747627320914,118.9,25.62,20.356
1747627321014,118.88,25.62,20.373
1747627321114,119.82,25.62,20.389
1747627321214,122.7,25.62,20.29
1747627321314,136.72,25.27,20.166
1747627321414,144.81,25.09,20.398
1747627321514,152.52,24.85,20.778
1747627321614,164.83,24.5,21.027
1747627321714,180.74,24.04,20.969
1747627321814,179.81,24.04,21.267
1747627321914,179.81,23.97,21.913
