Timestamp (ms),Encoder1,Encoder2,Loadcell
1747961459368,270.35,122.59,0.97
1747961459468,270.37,122.7,0.463
1747961459569,270.35,122.64,-0.118
1747961459669,270.21,122.68,-0.118
1747961459769,270.21,122.61,-0.441
1747961459869,269.6,122.66,-0.36
1747961459969,263.73,122.81,-0.984
1747961460069,251.01,123.12,-0.007
1747961460169,246.09,123.27,1.175
1747961460269,244.77,123.27,0.867
1747961460369,240.24,123.32,1.065
1747961460469,232.22,123.74,0.536
1747961460569,224.79,123.87,0.184
1747961460669,217.98,123.98,0.242
1747961460769,212.64,124.31,0.977
1747961460869,210.07,124.35,0.602
1747961460969,210.84,124.31,0.558
1747961461069,210.66,124.42,1.667
1747961461169,205.22,124.46,1.087
1747961461269,204.58,124.53,0.771
1747961461369,201.92,124.5,0.551
1747961461469,194.32,124.64,-0.095
1747961461569,184.98,124.99,-0.367
1747961461669,177.09,125.23,0.536
1747961461769,173.64,125.34,0.977
1747961461869,173.62,125.27,0.507
1747961461969,173.37,125.32,0.566
1747961462069,173.13,125.25,-0.375
1747961462169,173.64,125.27,-0.323
1747961462269,173.62,125.43,0.25
1747961462369,165.44,125.54,-0.213
1747961462469,156.63,125.69,0.823
1747961462569,145.93,125.91,1.484
1747961462669,141.69,126.0,0.617
1747961462769,137.03,126.13,1.557
1747961462869,137.07,126.13,1.711
1747961462969,137.34,126.13,1.888
1747961463069,134.5,126.22,2.248
1747961463169,125.1,126.42,1.528
1747961463270,118.79,126.48,1.983
1747961463370,113.58,126.68,2.27
1747961463470,113.8,126.68,2.438
1747961463570,113.83,126.55,2.916
1747961463670,113.39,126.66,3.173
1747961463770,113.36,126.59,2.997
1747961463870,103.17,126.83,3.136
1747961463970,96.16,127.1,3.041
1747961464070,91.13,127.16,2.446
1747961464170,86.78,127.25,1.968
1747961464270,81.59,127.27,2.732
1747961464370,73.55,127.49,3.408
1747961464470,72.25,127.6,3.283
1747961464570,72.29,127.58,4.091
1747961464670,72.58,127.52,3.526
1747961464770,72.6,127.67,3.085
1747961464870,72.54,127.67,2.505
1747961464970,72.51,127.65,2.718
1747961465070,72.58,127.58,3.43
1747961465170,72.51,127.69,3.261
1747961465270,72.23,127.6,2.879
