Timestamp (ms),Encoder1,Encoder2,Loadcell
1747627535208,31.91,14.92,0.174
1747627535308,31.95,14.88,0.29
1747627535408,31.91,14.88,0.24
1747627535508,31.91,14.9,0.282
1747627535608,31.93,14.88,0.248
1747627535708,31.91,14.9,0.306
1747627535808,31.91,14.9,0.348
1747627535908,31.91,14.9,0.248
1747627536008,31.91,14.94,0.207
1747627536108,31.91,14.81,0.248
1747627536208,31.91,14.9,0.348
1747627536308,31.91,14.92,0.207
1747627536408,31.91,14.88,0.099
1747627536508,31.93,14.88,0.182
1747627536608,31.64,14.92,0.224
1747627536708,35.25,14.88,0.364
1747627536808,35.27,14.88,0.936
1747627536908,35.22,14.83,0.505
1747627537009,47.29,14.68,-0.041
1747627537108,64.56,14.31,0.058
1747627537209,84.69,13.82,0.605
1747627537309,95.74,13.49,1.797
1747627537408,95.63,13.51,3.992
1747627537509,95.08,13.51,4.547
1747627537609,99.96,13.43,4.48
1747627537709,137.89,12.55,4.298
1747627537809,163.95,11.73,4.696
1747627537909,163.33,11.78,5.582
1747627538009,161.18,11.78,6.443
1747627538109,161.77,11.78,6.526
1747627538209,168.17,11.67,6.311
1747627538309,181.92,11.32,6.228
1747627538409,208.62,10.53,6.261
1747627538509,225.17,10.09,6.774
1747627538609,225.32,10.11,7.76
1747627538709,225.32,10.09,8.845
1747627538809,240.24,9.8,8.961
1747627538909,273.51,8.97,8.754
1747627539009,303.88,8.17,9.251
1747627539109,308.03,8.11,10.219
1747627539209,308.03,8.15,10.932
1747627539309,308.05,8.15,11.089
1747627539409,315.11,7.89,10.923
1747627539509,328.09,7.49,10.865
1747627539609,348.4,6.83,11.139
1747627539709,356.37,6.61,11.727
1747627539809,355.72,6.64,12.348
1747627539909,355.69,6.64,13.002
1747627540009,5.36,6.44,12.944
1747627540109,25.34,5.85,12.629
1747627540209,49.31,5.21,13.217
1747627540309,48.8,5.21,13.88
1747627540409,48.98,5.23,14.203
1747627540509,48.96,5.23,13.855
1747627540609,52.21,5.16,13.797
1747627540709,74.1,4.68,13.706
1747627540809,86.78,4.35,13.83
1747627540909,98.64,3.96,14.559
1747627541009,112.99,3.74,15.288
1747627541110,118.73,3.63,15.718
1747627541209,114.0,3.69,15.909
1747627541309,113.94,3.69,15.983
1747627541410,117.08,3.71,15.76
1747627541510,141.29,3.14,15.337
1747627541610,152.19,2.86,15.611
1747627541710,164.59,2.48,16.398
1747627541810,163.93,2.51,16.828
1747627541910,164.01,2.48,17.126
1747627542010,163.97,2.48,16.836
1747627542110,170.39,2.35,16.795
1747627542210,191.44,1.82,16.795
1747627542310,205.57,1.45,16.87
1747627542410,217.78,1.12,17.839
1747627542510,214.91,1.12,18.559
1747627542610,215.78,1.12,18.725
1747627542710,215.76,1.08,18.683
1747627542810,226.46,0.92,18.509
1747627542910,244.75,0.48,18.509
1747627543010,267.67,359.93,18.973
1747627543110,268.79,359.87,19.263
1747627543210,267.67,359.89,19.619
1747627543310,267.64,359.89,19.727
1747627543410,269.8,359.87,19.545
1747627543510,287.79,359.38,19.362
1747627543610,305.72,358.97,19.188
1747627543710,318.64,358.62,19.793
1747627543810,315.92,358.59,20.464
1747627543910,315.94,358.64,20.894
1747627544010,315.96,358.62,20.803
1747627544110,320.34,358.55,20.522
1747627544210,338.99,357.96,20.464
1747627544310,358.33,357.41,20.911
1747627544410,1.27,357.32,21.623
1747627544510,0.7,357.34,21.996
1747627544610,0.66,357.34,21.772
1747627544711,0.79,357.34,21.681
1747627544810,8.88,357.3,21.681
1747627544911,27.95,356.55,21.549
1747627545010,49.42,355.96,21.855
1747627545111,50.98,355.93,22.617
1747627545211,49.68,355.91,23.238
1747627545311,49.64,355.93,23.47
1747627545411,51.42,355.93,23.213
1747627545511,73.7,355.41,22.99
1747627545611,93.54,354.92,23.031
1747627545711,107.89,354.59,24.05
1747627545811,106.29,354.57,24.621
1747627545912,106.29,354.57,24.646
1747627546011,106.29,354.57,24.489
1747627546111,112.27,354.48,24.431
1747627546211,134.92,353.94,24.513
1747627546311,152.32,353.43,24.729
1747627546411,149.16,353.52,25.259
1747627546511,149.23,353.45,25.764
1747627546611,149.25,353.45,25.516
1747627546711,149.25,353.45,25.077
1747627546812,152.32,353.45,24.969
1747627546911,164.63,353.08,24.886
1747627547011,180.27,352.62,25.449
1747627547111,197.96,352.13,26.65
1747627547211,198.64,352.09,27.329
1747627547311,199.48,352.07,27.644
1747627547411,199.5,352.09,27.752
1747627547511,199.48,352.07,27.669
1747627547611,209.65,351.78,27.636
1747627547711,235.67,351.19,27.511
1747627547811,255.65,350.73,28.141
1747627547911,269.51,350.35,29.358
1747627548011,268.06,350.38,30.277
1747627548111,267.91,350.35,31.28
1747627548211,269.18,350.38,31.362
1747627548311,291.09,349.78,31.147
1747627548411,312.43,349.21,31.42
1747627548511,327.35,348.68,32.712
1747627548611,339.89,348.31,33.781
1747627548711,336.88,348.35,34.617
1747627548811,336.86,348.35,35.205
1747627548911,337.74,348.31,34.567
1747627549011,358.11,347.76,33.872
1747627549111,19.32,347.17,34.253
1747627549211,39.47,346.55,35.743
1747627549311,40.28,346.51,37.292
1747627549412,40.3,346.49,38.766
1747627549512,40.59,346.46,39.47
1747627549612,54.3,346.18,39.445
1747627549712,76.91,345.63,39.694
1747627549812,88.69,345.37,40.861
1747627549912,108.86,344.88,41.83
1747627550012,121.14,344.6,42.576
1747627550112,117.56,344.55,43.652
1747627550212,116.79,344.53,44.513
1747627550312,116.81,344.6,44.257
1747627550412,131.95,344.29,43.917
1747627550512,153.14,343.76,43.859
1747627550612,171.77,343.23,44.555
1747627550712,191.42,342.66,46.393
1747627550812,198.6,342.44,47.834
1747627550912,199.28,342.44,49.226
1747627551012,199.3,342.42,50.369
1747627551112,211.96,342.07,49.938
1747627551212,242.07,341.39,50.203
1747627551312,267.01,340.75,51.669
1747627551412,282.83,340.33,53.499
1747627551513,287.07,340.11,55.42
1747627551612,288.39,340.14,56.886
1747627551712,288.36,340.14,57.458
1747627551812,293.84,339.98,57.366
1747627551912,316.58,339.39,57.126
1747627552012,336.0,338.73,57.532
1747627552112,357.21,338.14,59.031
1747627552212,9.32,337.76,61.275
1747627552312,6.22,337.78,63.602
1747627552412,6.22,337.78,65.391
1747627552512,6.24,337.78,65.176
1747627552612,21.93,337.41,64.919
1747627552712,47.22,336.69,65.143
1747627552812,71.35,336.07,66.973
1747627552912,83.13,335.74,69.805
1747627553012,82.16,335.74,71.387
1747627553112,82.16,335.7,70.907
1747627553212,82.16,335.74,70.617
1747627553312,95.08,335.5,70.369
1747627553412,122.75,334.84,70.128
1747627553513,142.77,334.31,70.899
1747627553613,145.16,334.22,72.571
1747627553713,141.97,334.22,73.689
1747627553813,141.97,334.2,73.888
1747627553913,142.15,334.18,73.549
1747627554013,155.31,333.92,73.366
1747627554113,181.68,333.15,73.607
1747627554213,204.38,332.53,75.246
1747627554313,217.02,332.2,76.861
1747627554413,215.87,332.16,78.269
1747627554513,215.87,332.16,79.023
1747627554613,216.66,332.11,78.749
1747627554713,231.67,331.83,78.509
1747627554813,242.83,331.61,78.567
1747627554913,258.92,331.15,79.636
1747627555013,274.3,330.71,81.168
1747627555113,289.35,330.25,81.954
1747627555213,288.3,330.18,84.273
1747627555313,288.3,330.2,84.745
1747627555413,290.34,330.09,84.422
1747627555513,314.38,329.48,84.083
1747627555613,331.24,328.93,84.861
1747627555713,349.91,328.36,86.692
1747627555813,3.74,327.94,88.571
1747627555913,2.22,327.9,90.104
1747627556013,2.22,327.87,86.932
1747627556113,3.85,327.87,84.075
1747627556213,14.41,327.63,84.058
1747627556313,33.07,327.08,84.157
1747627556413,55.53,326.47,86.385
1747627556513,79.13,325.9,91.52
1747627556613,78.27,325.83,94.981
1747627556713,78.38,325.83,96.124
1747627556813,78.84,325.83,96.124
1747627556913,97.45,325.46,95.702
1747627557013,122.11,324.82,96.017
1747627557113,146.35,324.2,97.954
1747627557213,167.33,323.57,99.602
1747627557314,164.3,323.5,101.855
1747627557414,164.3,323.5,103.586
1747627557514,166.12,323.48,103.445
1747627557614,181.13,323.15,103.064
1747627557714,199.88,322.67,103.213
1747627557814,227.8,321.96,104.704
1747627557914,234.64,321.72,109.689
1747627558014,235.03,321.68,111.826
1747627558114,235.01,321.68,111.859
1747627558214,239.71,321.63,111.578
1747627558314,264.57,321.02,111.362
1747627558414,288.94,320.31,112.82
1747627558514,298.98,320.07,116.737
1747627558614,294.23,320.03,120.547
1747627558714,294.23,320.03,121.938
1747627558814,294.91,320.01,120.853
1747627558914,307.5,319.85,120.232
1747627559014,323.79,319.35,119.868
1747627559114,338.8,318.86,121.043
1747627559214,357.12,318.34,125.002
1747627559315,356.37,318.27,130.667
1747627559414,356.33,318.25,131.934
1747627559514,358.0,318.25,131.18
1747627559614,17.32,317.68,130.352
1747627559714,34.43,317.22,131.66
1747627559814,57.13,316.62,135.909
1747627559914,83.13,316.07,139.867
1747627560014,82.4,315.96,143.545
1747627560115,82.34,315.99,146.104
1747627560215,84.34,315.94,145.565
1747627560314,109.47,315.33,144.224
1747627560414,136.77,314.69,144.199
1747627560514,155.14,314.18,147.975
1747627560614,159.88,313.96,152.24
1747627560714,159.42,313.99,156.232
1747627560815,159.44,313.92,155.569
1747627560914,159.9,313.9,154.824
1747627561015,180.49,313.44,153.996
1747627561115,205.74,312.69,155.097
1747627561214,236.31,311.96,161.507
1747627561315,238.11,311.85,168.696
1747627561415,238.26,311.85,173.292
1747627561515,238.24,311.79,173.631
1747627561615,243.05,311.77,172.571
1747627561715,271.64,311.09,171.379
1747627561815,295.79,310.45,172.008
1747627561915,313.28,309.99,178.269
1747627562015,315.15,309.86,185.781
1747627562115,315.17,309.88,188.878
1747627562215,315.2,309.86,188.174
1747627562315,319.37,309.77,186.451
1747627562415,337.13,309.2,185.905
1747627562515,357.8,308.65,189.731
1747627562615,23.67,307.99,196.944
1747627562715,24.13,307.88,202.692
1747627562815,24.13,307.86,207.429
1747627562915,24.15,307.86,207.255
1747627563015,30.59,307.72,204.87
1747627563115,62.32,307.02,203.337
1747627563215,102.4,306.08,204.53
1747627563315,107.04,305.86,213.085
1747627563415,107.08,305.83,225.756
1747627563515,107.06,305.83,223.28
1747627563615,107.1,305.88,220.986
1747627563715,125.8,305.46,219.636
1747627563815,153.55,304.74,220.845
1747627563915,179.29,304.03,229.814
1747627564015,179.48,303.99,239.545
1747627564115,179.48,303.97,244.025
1747627564215,179.48,303.97,241.598
1747627564315,182.47,303.94,238.476
1747627564415,200.45,303.55,236.778
1747627564515,223.52,303.13,237.781
1747627564615,242.4,302.69,244.886
1747627564715,248.39,302.54,251.743
1747627564815,245.69,302.54,257.747
1747627564915,245.63,302.54,255.064
1747627565015,247.03,302.49,252.364
1747627565116,264.87,302.14,250.733
1747627565216,279.36,301.77,252.778
1747627565316,298.06,301.35,262.551
1747627565416,304.27,301.22,271.429
1747627565516,300.89,301.15,275.934
1747627565616,300.87,301.13,274.849
1747627565716,301.51,301.13,270.484
1747627565816,315.92,300.87,267.76
1747627565916,328.6,300.6,266.882
1747627566016,351.28,300.03,271.619
1747627566116,3.49,299.66,282.783
1747627566216,3.1,299.64,295.155
1747627566316,3.1,299.62,293.64
1747627566416,5.49,299.62,289.689
1747627566516,26.39,299.2,287.752
1747627566616,54.69,298.63,291.834
1747627566716,79.39,298.14,304.803
1747627566816,77.37,298.08,315.014
1747627566916,77.46,298.08,320.928
1747627567016,77.35,298.06,318.94
1747627567116,83.76,297.99,314.493
1747627567216,107.3,297.62,312.273
1747627567316,124.39,297.33,313.631
1747627567416,146.15,296.93,324.091
1747627567516,150.41,296.8,343.404
1747627567616,148.63,296.78,348.58
1747627567716,148.61,296.74,344.687
1747627567816,155.36,296.67,340.199
1747627567916,181.07,296.12,339.495
1747627568016,208.38,295.33,348.232
1747627568116,240.68,294.58,368.464
1747627568216,253.73,294.23,387.238
1747627568316,256.79,294.08,401.822
1747627568416,256.74,294.06,410.112
1747627568516,256.74,294.03,410.783
1747627568616,272.35,293.75,406.493
1747627568716,309.28,292.94,403.18
1747627568816,328.45,292.23,408.447
1747627568916,335.63,291.99,462.219
1747627569017,335.5,291.92,472.406
1747627569117,335.48,291.92,470.741
1747627569217,336.49,291.9,464.58
1747627569317,5.25,291.4,460.696
1747627569417,35.31,290.63,464.505
1747627569517,54.08,290.08,488.613
1747627569617,52.3,290.03,515.578
1747627569717,52.3,290.01,527.553
1747627569817,52.32,289.99,523.52
1747627569917,63.57,289.9,518.021
1747627570017,87.57,289.44,515.064
1747627570117,115.78,288.85,518.037
1747627570217,118.0,288.67,537.789
1747627570317,118.59,288.63,577.64
1747627570417,136.19,288.36,573.938
1747627570517,139.53,288.23,573.979
1747627570617,138.72,288.19,587.039
1747627570717,138.72,288.19,589.814
1747627570817,140.66,288.17,584.596
1747627570917,162.65,287.79,581.068
1747627571017,186.08,287.31,582.576
1747627571117,207.74,286.76,602.708
1747627571217,212.22,286.56,633.665
1747627571317,211.76,286.52,662.178
1747627571417,211.72,286.52,675.321
1747627571517,211.76,286.52,670.692
1747627571617,234.18,286.28,664.456
1747627571717,261.73,285.79,662.004
1747627571817,279.33,285.38,686.692
1747627571917,296.91,284.94,722.269
1747627572017,296.1,284.85,747.909
1747627572117,294.5,284.8,763.23
1747627572217,294.34,284.78,759.528
1747627572317,296.03,284.83,751.304
1747627572417,317.39,284.48,745.888
1747627572517,333.65,284.1,744.348
1747627572618,350.42,283.73,761.044
1747627572718,4.66,283.31,795.155
1747627572818,3.76,283.24,823.072
1747627572918,3.69,283.2,845.474
1747627573017,4.11,283.2,841.035
1747627573118,19.38,283.05,835.164
1747627573218,42.23,282.63,835.015
1747627573318,71.24,282.08,857.275
1747627573418,87.83,281.68,892.141
1747627573518,84.23,281.62,922.385
1747627573618,84.14,281.57,938.286
1747627573718,84.18,281.55,929.689
1747627573818,88.58,281.53,919.337
1747627573918,110.29,281.25,913.822
1747627574018,124.44,280.96,912.704
1747627574118,143.93,280.7,927.089
1747627574218,160.39,280.26,951.694
1747627574318,158.5,280.17,972.952
1747627574418,158.54,280.15,1006.311
1747627574518,158.52,280.1,998.385
1747627574618,163.82,280.01,989.805
1747627574718,178.78,279.84,984.721
1747627574818,198.91,279.51,988.24
1747627574918,229.61,279.03,1008.282
1747627575018,250.88,278.56,1039.023
1747627575118,249.8,278.45,1075.445
1747627575218,249.78,278.41,1101.963
1747627575318,249.78,278.39,1099.743
1747627575418,260.0,278.3,1088.87
1747627575518,283.2,277.97,1080.961
1747627575618,306.98,277.58,1079.329
1747627575718,320.18,277.25,1099.652
1747627575818,319.66,277.14,1164.828
1747627575918,317.02,277.11,1174.335
1747627576019,317.0,277.09,1163.329
1747627576118,317.77,277.09,1151.387
1747627576218,330.49,276.92,1144.605
1747627576318,345.94,276.7,1143.031
1747627576418,7.34,276.32,1156.778
1747627576518,23.93,275.95,1180.919
1747627576618,22.57,275.84,1209.524
1747627576718,22.57,275.8,1237.176
1747627576818,22.48,275.75,1242.733
1747627576919,24.33,275.75,1232.489
1747627577019,47.95,275.47,1223.785
1747627577119,83.46,275.0,1224.853
1747627577219,107.83,274.5,1258.286
1747627577318,106.07,274.37,1304.364
1747627577419,106.05,274.3,1328.041
1747627577519,106.02,274.26,1318.741
1747627577618,108.24,274.19,1305.052
1747627577719,130.5,273.95,1295.304
1747627577818,152.35,273.58,1292.224
1747627577919,178.17,273.11,1309.747
1747627578019,179.07,272.94,1345.391
1747627578119,178.3,272.83,1381.193
1747627578219,178.3,272.81,1396.008
1747627578319,178.76,272.79,1380.919
1747627578419,195.74,272.61,1365.963
1747627578519,231.91,272.15,1355.379
1747627578619,259.38,271.64,1384.489
1747627578719,263.69,271.42,1431.594
1747627578819,263.18,271.31,1462.062
1747627578919,263.16,271.25,1460.157
1747627579019,265.71,271.2,1441.731
1747627579119,281.55,270.98,1426.286
1747627579219,298.1,270.72,1418.683
1747627579319,309.61,270.5,1430.841
1747627579419,320.89,270.24,1455.752
1747627579519,331.43,269.97,1470.973
1747627579619,342.84,269.69,1484.133
1747627579719,344.49,269.51,1495.139
1747627579819,340.47,269.49,1505.723
1747627579919,340.44,269.4,1496.629
1747627580019,341.7,269.42,1474.617
1747627580119,2.97,269.18,1460.124
1747627580219,23.89,268.83,1456.116
1747627580319,40.87,268.54,1482.451
1747627580419,58.58,268.17,1521.217
1747627580519,73.31,267.89,1543.652
1747627580619,85.06,267.6,1556.762
1747627580719,86.51,267.38,1563.801
1747627580819,85.28,267.29,1568.133
1747627580920,85.24,267.23,1560.364
1747627581019,89.65,267.16,1539.611
1747627581120,119.03,266.74,1517.673
1747627581220,144.02,266.24,1502.451
1747627581320,161.62,265.75,1568.282
1747627581420,179.24,265.23,1602.311
1747627581520,187.31,264.76,1610.228
1747627581620,186.74,264.59,1603.793
1747627581720,186.65,264.46,1573.673
1747627581820,186.67,264.46,1527.404
1747627581920,208.86,264.13,1496.29
1747627582020,245.27,263.56,1478.319
1747627582120,268.7,262.98,1497.598
1747627582220,273.73,262.66,1562.981
1747627582320,280.85,262.39,1588.845
1747627582420,280.39,262.22,1563.073
1747627582520,280.01,262.15,1530.186
1747627582620,279.93,262.08,1493.83
1747627582720,280.65,262.04,1474.584
1747627582820,306.67,261.64,1460.033
1747627582920,322.49,261.14,1462.957
1747627583020,338.69,260.61,1519.71
1747627583120,355.01,260.0,1574.228
1747627583220,6.33,259.47,1583.139
1747627583320,25.86,258.94,1567.453
1747627583420,33.58,258.59,1542.377
1747627583520,32.43,258.41,1529.35
1747627583620,32.37,258.35,1518.973
1747627583720,32.24,258.28,1485.093
1747627583820,39.62,258.24,1455.735
1747627583920,77.52,257.73,1437.557
1747627584020,106.66,257.12,1455.843
1747627584120,122.81,256.59,1530.402
