Timestamp (ms),Encoder1,Encoder2,Loadcell
1747961836662,118.73,154.83,1.278
1747961836762,118.75,154.67,1.799
1747961836862,118.75,154.7,1.447
1747961836962,118.77,154.74,0.521
1747961837062,118.75,154.72,1.043
1747961837162,118.77,154.78,0.903
1747961837262,118.77,154.78,1.432
1747961837362,118.75,154.74,1.087
1747961837462,118.75,154.7,0.206
1747961837562,118.75,154.81,0.808
1747961837662,118.77,154.7,0.308
1747961837762,118.73,154.78,1.586
1747961837862,118.75,154.74,1.954
1747961837962,118.77,154.72,2.879
1747961838062,118.77,154.74,2.24
1747961838162,118.75,154.72,0.353
1747961838262,118.73,154.67,1.476
1747961838362,118.73,154.81,1.373
1747961838462,118.75,154.67,1.278
1747961838562,116.35,154.87,1.829
1747961838662,108.66,155.16,1.256
1747961838762,89.59,155.64,1.168
1747961838862,89.26,155.71,2.975
1747961838962,84.38,155.88,5.163
1747961839062,72.95,156.17,6.412
1747961839162,66.93,156.37,6.104
1747961839262,66.87,156.41,4.554
1747961839362,64.58,156.5,3.144
1747961839462,64.67,156.52,4.627
1747961839562,63.55,156.5,5.861
1747961839662,54.65,156.74,5.303
1747961839762,42.21,157.09,6.339
1747961839863,39.36,157.27,6.537
1747961839963,39.49,157.27,7.293
1747961840063,44.17,157.14,7.271
1747961840163,42.81,157.16,5.692
1747961840263,28.92,157.47,5.861
1747961840363,11.43,157.93,5.457
1747961840463,8.15,158.08,7.169
1747961840563,7.47,158.08,8.241
1747961840663,7.95,157.99,8.806
1747961840763,7.27,158.04,9.049
1747961840863,6.64,158.04,9.122
1747961840963,6.0,158.1,10.202
1747961841063,357.71,158.34,9.497
1747961841163,347.32,158.52,8.821
1747961841263,333.79,158.87,8.667
1747961841363,324.42,159.18,9.372
1747961841463,324.47,159.18,11.811
1747961841563,324.58,159.16,9.254
1747961841663,325.15,159.18,6.823
1747961841763,325.35,159.22,7.83
1747961841863,322.71,159.22,9.607
1747961841963,312.21,159.58,8.711
1747961842063,308.43,159.58,7.543
1747961842163,304.23,159.69,8.564
1747961842263,303.86,159.73,10.577
1747961842363,303.83,159.66,11.811
1747961842463,303.83,159.79,10.944
1747961842563,299.9,159.75,9.688
1747961842663,291.13,160.04,9.497
1747961842763,277.64,160.37,11.385
1747961842863,274.5,160.41,11.172
1747961842963,274.52,160.48,10.29
1747961843063,274.74,160.45,9.041
1747961843163,274.17,160.43,6.735
1747961843263,270.08,160.5,8.101
